wl,S001,R001,S002,S003
403.611738,27471.857143,27471.857143,27471.857143,27471.857143
404.063168,29166.571429,29166.571429,29166.571429,29166.571429
404.514584,29710.285714,29710.285714,29710.285714,29710.285714
404.965985,29176.000000,29176.000000,29176.000000,29176.000000
405.417372,27872.142857,27872.142857,27872.142857,27872.142857
405.868745,26203.857143,26203.857143,26203.857143,26203.857143
406.320103,24486.142857,24486.142857,24486.142857,24486.142857
406.771447,22837.142857,22837.142857,22837.142857,22837.142857
407.222776,21248.285714,21248.285714,21248.285714,21248.285714
407.674091,19710.142857,19710.142857,19710.142857,19710.142857
408.125391,18167.428571,18167.428571,18167.428571,18167.428571
408.576678,16472.571429,16472.571429,16472.571429,16472.571429
409.027949,14644.714286,14644.714286,14644.714286,14644.714286
409.479206,12720.571429,12720.571429,12720.571429,12720.571429
409.930449,10805.857143,10805.857143,10805.857143,10805.857143
410.381677,9108.571429,9108.571429,9108.571429,9108.571429
410.832891,7770.571429,7770.571429,7770.571429,7770.571429
411.284090,6835.714286,6835.714286,6835.714286,6835.714286
411.735275,6240.142857,6240.142857,6240.142857,6240.142857
412.186445,5820.142857,5820.142857,5820.142857,5820.142857
412.637601,5517.142857,5517.142857,5517.142857,5517.142857
413.088742,5290.714286,5290.714286,5290.714286,5290.714286
413.539868,5078.142857,5078.142857,5078.142857,5078.142857
413.990980,4905.714286,4905.714286,4905.714286,4905.714286
414.442078,4746.857143,4746.857143,4746.857143,4746.857143
414.893161,4634.857143,4634.857143,4634.857143,4634.857143
415.344229,4564.857143,4564.857143,4564.857143,4564.857143
415.795283,4513.428571,4513.428571,4513.428571,4513.428571
416.246322,4466.000000,4466.000000,4466.000000,4466.000000
416.697346,4433.428571,4433.428571,4433.428571,4433.428571
417.148356,4392.285714,4392.285714,4392.285714,4392.285714
417.599352,4368.142857,4368.142857,4368.142857,4368.142857
418.050332,4355.571429,4355.571429,4355.571429,4355.571429
418.501298,4338.142857,4338.142857,4338.142857,4338.142857
418.952250,4315.571429,4315.571429,4315.571429,4315.571429
419.403186,4280.714286,4280.714286,4280.714286,4280.714286
419.854108,4243.428571,4243.428571,4243.428571,4243.428571
420.305016,4207.142857,4207.142857,4207.142857,4207.142857
420.755909,4185.285714,4185.285714,4185.285714,4185.285714
421.206787,4153.714286,4153.714286,4153.714286,4153.714286
421.657650,4117.142857,4117.142857,4117.142857,4117.142857
422.108498,4095.142857,4095.142857,4095.142857,4095.142857
422.559332,4075.285714,4075.285714,4075.285714,4075.285714
423.010151,4055.571429,4055.571429,4055.571429,4055.571429
423.460956,4040.142857,4040.142857,4040.142857,4040.142857
423.911745,4027.000000,4027.000000,4027.000000,4027.000000
424.362520,4016.857143,4016.857143,4016.857143,4016.857143
424.813280,4017.428571,4017.428571,4017.428571,4017.428571
425.264026,4007.571429,4007.571429,4007.571429,4007.571429
425.714756,4004.142857,4004.142857,4004.142857,4004.142857
426.165472,4003.000000,4003.000000,4003.000000,4003.000000
426.616173,3995.285714,3995.285714,3995.285714,3995.285714
427.066859,3999.857143,3999.857143,3999.857143,3999.857143
427.517531,4034.285714,4034.285714,4034.285714,4034.285714
427.968187,4097.714286,4097.714286,4097.714286,4097.714286
428.418829,4230.571429,4230.571429,4230.571429,4230.571429
428.869456,4496.142857,4496.142857,4496.142857,4496.142857
429.320068,4975.000000,4975.000000,4975.000000,4975.000000
429.770665,5704.857143,5704.857143,5704.857143,5704.857143
430.221247,6743.142857,6743.142857,6743.142857,6743.142857
430.671815,8118.714286,8118.714286,8118.714286,8118.714286
431.122367,9905.000000,9905.000000,9905.000000,9905.000000
431.572905,12279.000000,12279.000000,12279.000000,12279.000000
432.023427,15594.857143,15594.857143,15594.857143,15594.857143
432.473935,20322.857143,20322.857143,20322.857143,20322.857143
432.924428,26503.714286,26503.714286,26503.714286,26503.714286
433.374906,33610.285714,33610.285714,33610.285714,33610.285714
433.825369,40666.714286,40666.714286,40666.714286,40666.714286
434.275817,47099.428571,47099.428571,47099.428571,47099.428571
434.726250,52354.857143,52354.857143,52354.857143,52354.857143
435.176668,55569.285714,55569.285714,55569.285714,55569.285714
435.627072,55452.285714,55452.285714,55452.285714,55452.285714
436.077460,51639.142857,51639.142857,51639.142857,51639.142857
436.527833,45193.000000,45193.000000,45193.000000,45193.000000
436.978191,37933.000000,37933.000000,37933.000000,37933.000000
437.428534,30765.428571,30765.428571,30765.428571,30765.428571
437.878862,24165.142857,24165.142857,24165.142857,24165.142857
438.329176,18589.428571,18589.428571,18589.428571,18589.428571
438.779474,14852.571429,14852.571429,14852.571429,14852.571429
439.229757,13253.714286,13253.714286,13253.714286,13253.714286
439.680025,13205.000000,13205.000000,13205.000000,13205.000000
440.130278,13779.428571,13779.428571,13779.428571,13779.428571
440.580515,14490.142857,14490.142857,14490.142857,14490.142857
441.030738,15067.428571,15067.428571,15067.428571,15067.428571
441.480946,15368.857143,15368.857143,15368.857143,15368.857143
441.931138,15244.000000,15244.000000,15244.000000,15244.000000
442.381316,14646.285714,14646.285714,14646.285714,14646.285714
442.831478,13669.714286,13669.714286,13669.714286,13669.714286
443.281626,12400.428571,12400.428571,12400.428571,12400.428571
443.731758,10886.285714,10886.285714,10886.285714,10886.285714
444.181875,9268.142857,9268.142857,9268.142857,9268.142857
444.631976,7769.000000,7769.000000,7769.000000,7769.000000
445.082063,6495.000000,6495.000000,6495.000000,6495.000000
445.532135,5532.428571,5532.428571,5532.428571,5532.428571
445.982191,4768.428571,4768.428571,4768.428571,4768.428571
446.432232,4159.000000,4159.000000,4159.000000,4159.000000
446.882258,3740.571429,3740.571429,3740.571429,3740.571429
447.332269,3516.142857,3516.142857,3516.142857,3516.142857
447.782264,3387.428571,3387.428571,3387.428571,3387.428571
448.232244,3310.571429,3310.571429,3310.571429,3310.571429
448.682209,3256.428571,3256.428571,3256.428571,3256.428571
449.132159,3211.571429,3211.571429,3211.571429,3211.571429
449.582094,3179.428571,3179.428571,3179.428571,3179.428571
450.032013,3152.428571,3152.428571,3152.428571,3152.428571
450.481917,3116.000000,3116.000000,3116.000000,3116.000000
450.931806,3090.000000,3090.000000,3090.000000,3090.000000
451.381679,3070.714286,3070.714286,3070.714286,3070.714286
451.831538,3054.857143,3054.857143,3054.857143,3054.857143
452.281381,3038.714286,3038.714286,3038.714286,3038.714286
452.731208,3027.000000,3027.000000,3027.000000,3027.000000
453.181020,3014.000000,3014.000000,3014.000000,3014.000000
453.630817,3000.142857,3000.142857,3000.142857,3000.142857
454.080599,2984.571429,2984.571429,2984.571429,2984.571429
454.530365,2979.285714,2979.285714,2979.285714,2979.285714
454.980116,2963.142857,2963.142857,2963.142857,2963.142857
455.429852,2957.571429,2957.571429,2957.571429,2957.571429
455.879572,2951.571429,2951.571429,2951.571429,2951.571429
456.329277,2942.428571,2942.428571,2942.428571,2942.428571
456.778966,2939.428571,2939.428571,2939.428571,2939.428571
457.228640,2938.714286,2938.714286,2938.714286,2938.714286
457.678299,2938.000000,2938.000000,2938.000000,2938.000000
458.127942,2936.428571,2936.428571,2936.428571,2936.428571
458.577570,2931.000000,2931.000000,2931.000000,2931.000000
459.027182,2920.571429,2920.571429,2920.571429,2920.571429
459.476779,2911.571429,2911.571429,2911.571429,2911.571429
459.926360,2901.000000,2901.000000,2901.000000,2901.000000
460.375926,2886.857143,2886.857143,2886.857143,2886.857143
460.825477,2866.428571,2866.428571,2866.428571,2866.428571
461.275012,2843.000000,2843.000000,2843.000000,2843.000000
461.724531,2825.571429,2825.571429,2825.571429,2825.571429
462.174035,2812.000000,2812.000000,2812.000000,2812.000000
462.623524,2796.428571,2796.428571,2796.428571,2796.428571
463.072997,2781.000000,2781.000000,2781.000000,2781.000000
463.522454,2764.142857,2764.142857,2764.142857,2764.142857
463.971896,2751.714286,2751.714286,2751.714286,2751.714286
464.421323,2741.428571,2741.428571,2741.428571,2741.428571
464.870734,2732.000000,2732.000000,2732.000000,2732.000000
465.320129,2718.000000,2718.000000,2718.000000,2718.000000
465.769509,2704.428571,2704.428571,2704.428571,2704.428571
466.218873,2696.571429,2696.571429,2696.571429,2696.571429
466.668222,2690.285714,2690.285714,2690.285714,2690.285714
467.117555,2679.571429,2679.571429,2679.571429,2679.571429
467.566872,2672.857143,2672.857143,2672.857143,2672.857143
468.016174,2662.000000,2662.000000,2662.000000,2662.000000
468.465460,2657.857143,2657.857143,2657.857143,2657.857143
468.914731,2651.000000,2651.000000,2651.000000,2651.000000
469.363986,2643.285714,2643.285714,2643.285714,2643.285714
469.813225,2633.000000,2633.000000,2633.000000,2633.000000
470.262449,2621.857143,2621.857143,2621.857143,2621.857143
470.711657,2620.714286,2620.714286,2620.714286,2620.714286
471.160849,2615.285714,2615.285714,2615.285714,2615.285714
471.610026,2608.000000,2608.000000,2608.000000,2608.000000
472.059186,2604.000000,2604.000000,2604.000000,2604.000000
472.508332,2597.857143,2597.857143,2597.857143,2597.857143
472.957461,2592.428571,2592.428571,2592.428571,2592.428571
473.406575,2592.000000,2592.000000,2592.000000,2592.000000
473.855673,2581.428571,2581.428571,2581.428571,2581.428571
474.304756,2571.142857,2571.142857,2571.142857,2571.142857
474.753822,2564.857143,2564.857143,2564.857143,2564.857143
475.202873,2561.857143,2561.857143,2561.857143,2561.857143
475.651908,2551.428571,2551.428571,2551.428571,2551.428571
476.100928,2544.714286,2544.714286,2544.714286,2544.714286
476.549931,2535.857143,2535.857143,2535.857143,2535.857143
476.998919,2530.714286,2530.714286,2530.714286,2530.714286
477.447891,2522.428571,2522.428571,2522.428571,2522.428571
477.896847,2504.142857,2504.142857,2504.142857,2504.142857
478.345787,2489.857143,2489.857143,2489.857143,2489.857143
478.794712,2475.714286,2475.714286,2475.714286,2475.714286
479.243621,2464.571429,2464.571429,2464.571429,2464.571429
479.692514,2451.000000,2451.000000,2451.000000,2451.000000
480.141391,2439.285714,2439.285714,2439.285714,2439.285714
480.590252,2433.857143,2433.857143,2433.857143,2433.857143
481.039097,2430.142857,2430.142857,2430.142857,2430.142857
481.487927,2422.571429,2422.571429,2422.571429,2422.571429
481.936740,2422.000000,2422.000000,2422.000000,2422.000000
482.385538,2416.428571,2416.428571,2416.428571,2416.428571
482.834320,2421.714286,2421.714286,2421.714286,2421.714286
483.283086,2421.285714,2421.285714,2421.285714,2421.285714
483.731836,2418.857143,2418.857143,2418.857143,2418.857143
484.180570,2421.428571,2421.428571,2421.428571,2421.428571
484.629288,2423.285714,2423.285714,2423.285714,2423.285714
485.077990,2421.714286,2421.714286,2421.714286,2421.714286
485.526676,2424.142857,2424.142857,2424.142857,2424.142857
485.975346,2421.428571,2421.428571,2421.428571,2421.428571
486.424001,2424.714286,2424.714286,2424.714286,2424.714286
486.872639,2420.571429,2420.571429,2420.571429,2420.571429
487.321261,2425.857143,2425.857143,2425.857143,2425.857143
487.769868,2435.857143,2435.857143,2435.857143,2435.857143
488.218458,2451.285714,2451.285714,2451.285714,2451.285714
488.667032,2458.857143,2458.857143,2458.857143,2458.857143
489.115590,2471.142857,2471.142857,2471.142857,2471.142857
489.564133,2485.285714,2485.285714,2485.285714,2485.285714
490.012659,2492.571429,2492.571429,2492.571429,2492.571429
490.461169,2501.142857,2501.142857,2501.142857,2501.142857
490.909663,2502.714286,2502.714286,2502.714286,2502.714286
491.358141,2492.000000,2492.000000,2492.000000,2492.000000
491.806603,2491.142857,2491.142857,2491.142857,2491.142857
492.255049,2479.000000,2479.000000,2479.000000,2479.000000
492.703479,2456.714286,2456.714286,2456.714286,2456.714286
493.151892,2442.571429,2442.571429,2442.571429,2442.571429
493.600290,2420.857143,2420.857143,2420.857143,2420.857143
494.048671,2400.142857,2400.142857,2400.142857,2400.142857
494.497037,2388.142857,2388.142857,2388.142857,2388.142857
494.945386,2372.714286,2372.714286,2372.714286,2372.714286
495.393719,2361.714286,2361.714286,2361.714286,2361.714286
495.842036,2352.857143,2352.857143,2352.857143,2352.857143
496.290337,2349.428571,2349.428571,2349.428571,2349.428571
496.738621,2344.285714,2344.285714,2344.285714,2344.285714
497.186889,2340.000000,2340.000000,2340.000000,2340.000000
497.635142,2335.857143,2335.857143,2335.857143,2335.857143
498.083378,2325.142857,2325.142857,2325.142857,2325.142857
498.531597,2315.428571,2315.428571,2315.428571,2315.428571
498.979801,2313.714286,2313.714286,2313.714286,2313.714286
499.427988,2311.000000,2311.000000,2311.000000,2311.000000
499.876159,2305.285714,2305.285714,2305.285714,2305.285714
500.324314,2293.571429,2293.571429,2293.571429,2293.571429
500.772453,2296.142857,2296.142857,2296.142857,2296.142857
501.220575,2299.857143,2299.857143,2299.857143,2299.857143
501.668681,2301.857143,2301.857143,2301.857143,2301.857143
502.116771,2299.857143,2299.857143,2299.857143,2299.857143
502.564844,2287.714286,2287.714286,2287.714286,2287.714286
503.012902,2285.571429,2285.571429,2285.571429,2285.571429
503.460942,2289.714286,2289.714286,2289.714286,2289.714286
503.908967,2281.285714,2281.285714,2281.285714,2281.285714
504.356975,2277.428571,2277.428571,2277.428571,2277.428571
504.804967,2276.857143,2276.857143,2276.857143,2276.857143
505.252943,2273.714286,2273.714286,2273.714286,2273.714286
505.700902,2283.714286,2283.714286,2283.714286,2283.714286
506.148845,2278.571429,2278.571429,2278.571429,2278.571429
506.596771,2278.714286,2278.714286,2278.714286,2278.714286
507.044682,2277.000000,2277.000000,2277.000000,2277.000000
507.492575,2275.428571,2275.428571,2275.428571,2275.428571
507.940453,2271.285714,2271.285714,2271.285714,2271.285714
508.388314,2271.571429,2271.571429,2271.571429,2271.571429
508.836158,2268.285714,2268.285714,2268.285714,2268.285714
509.283986,2267.714286,2267.714286,2267.714286,2267.714286
509.731798,2265.428571,2265.428571,2265.428571,2265.428571
510.179593,2261.714286,2261.714286,2261.714286,2261.714286
510.627372,2264.142857,2264.142857,2264.142857,2264.142857
511.075135,2263.857143,2263.857143,2263.857143,2263.857143
511.522880,2251.285714,2251.285714,2251.285714,2251.285714
511.970610,2246.714286,2246.714286,2246.714286,2246.714286
512.418323,2243.428571,2243.428571,2243.428571,2243.428571
512.866019,2246.142857,2246.142857,2246.142857,2246.142857
513.313699,2250.857143,2250.857143,2250.857143,2250.857143
513.761363,2245.714286,2245.714286,2245.714286,2245.714286
514.209010,2246.000000,2246.000000,2246.000000,2246.000000
514.656640,2254.142857,2254.142857,2254.142857,2254.142857
515.104254,2257.714286,2257.714286,2257.714286,2257.714286
515.551851,2262.428571,2262.428571,2262.428571,2262.428571
515.999432,2261.285714,2261.285714,2261.285714,2261.285714
516.446996,2256.857143,2256.857143,2256.857143,2256.857143
