Wavelength (nm),Reference 1
727.8363951144684,1346.0
729.6078601448676,1265.0
731.372897802459,1287.0
733.1315141979003,1339.0
734.8837158688301,1351.0
736.6295097818644,1341.0
738.3689033345898,1327.0
740.1019043575609,1418.0
741.8285211162924,1441.0
743.5487623132574,1376.0
745.2626370898791,1467.0
746.9701550285287,1544.0
748.6713261545177,1686.0
750.3661609380957,1819.0
752.0546702964435,1752.0
753.7368655956684,1834.0
755.4127586528,2014.0
757.0823617377843,2223.0
758.7456875754789,2631.0
760.4027493476492,2980.0
762.0535606949613,3261.0
763.6981357189788,3386.0
765.336488984157,3325.0
766.9686355198382,3280.0
768.5945908222465,3147.0
770.2143708564827,2807.0
771.8279920585203,2473.0
773.4354713371984,2162.0
775.0368260762193,1910.0
776.6320741361417,1791.0
778.2212338563767,1590.0
779.8043240571815,1440.0
781.3813640416566,1318.0
782.9523735977385,1260.0
784.5173730001964,1287.0
786.0763830126258,1195.0
787.6294248894452,1223.0
789.1765203778896,1341.0
790.7176917200064,1314.0
792.2529616546497,1390.0
793.7823534194761,1535.0
795.3058907529394,1555.0
796.8235978962855,1722.0
798.3354995955475,1825.0
799.8416211035404,1783.0
801.3419881818565,1790.0
802.836627102861,1771.0
804.3255646516857,1972.0
805.8088281282245,2146.0
807.2864453491288,2195.0
808.7584446498026,2341.0
810.2248548863972,2343.0
811.6857054378057,2305.0
813.1410262076585,2270.0
814.590847626319,2111.0
816.0352006528778,2027.0
817.4741167771473,1859.0
818.907628021658,1567.0
820.3357669436524,1445.0
821.7585666370805,1278.0
823.1760607345949,1253.0
824.5882834095454,1430.0
825.9952693779743,1461.0
827.3970539006118,1537.0
828.7936727848701,1515.0
830.185162386839,1390.0
831.5715596132812,1462.0
832.9529019236265,1530.0
834.3292273319674,1422.0
835.7005744090541,1375.0
837.0669822842895,1406.0
838.4284906477234,1448.0
839.7851397520491,1545.0
841.1369704145972,1611.0
842.4840240193306,1619.0
843.8263425188405,1537.0
845.1639684363404,1515.0
846.4969448676616,1553.0
847.8253154832478,1419.0
849.149124530151,1390.0
850.4684168340252,1378.0
851.7832378011232,1230.0
853.0936334202895,1292.0
854.3996502649572,1311.0
855.7013354951415,1254.0
856.9987368594359,1299.0
858.2919026970068,1219.0
859.580881939588,1150.0
860.8657241134764,1094.0
862.146479341527,1083.0
863.4231983451474,1161.0
864.6959324462927,1113.0
865.9647335694618,1091.0
867.2296542436914,1115.0
868.4907476045504,1053.0
869.7480673961364,1071.0
871.0016679730697,1125.0
872.2516043024888,1098.0
873.4979319660449,1126.0
874.7407071618968,1082.0
875.9799867067079,1061.0
877.2158280376383,1097.0
878.4482892143411,1098.0
879.6774289209583,1167.0
880.9033064681148,1386.0
