Wavelength (nm),Reference 1,Scan_ID 1,Scan_ID 2
311.3714083160349,2743.0,65535.0,65535.0
314.0817583865714,3856.0,65535.0,65535.0
316.78890091172656,6999.0,65535.0,65535.0
319.4928136428748,9195.0,65535.0,65535.0
322.1934741859375,9251.0,65535.0,65535.0
324.89086000467205,8182.0,52612.0,50458.666666666664
327.58494842396163,5540.0,31406.0,27399.55555555555
330.2757166331037,3030.0,19734.0,16342.518518518516
332.9631416891006,1854.0,18054.0,14005.172839506173
335.647200519948,1550.0,21953.0,15908.057613168725
338.32786992792444,1510.0,24768.0,17425.35253772291
341.005126592881,1466.0,24548.0,17032.450845907635
343.67894707553023,1417.0,19962.0,14070.15028196921
346.34930782073604,1348.0,14810.0,11085.38342732307
349.01618516080237,1306.0,13421.0,10653.12780910769
351.6795553187633,1248.0,14281.0,11922.37593636923
354.3393944116718,1242.0,16519.0,14464.45864545641
356.99567845388947,1354.0,20466.0,18488.486215152137
359.64838336037576,1475.0,28436.0,25867.16207171738
362.2974849499774,2077.0,44417.0,42397.72069057246
364.94295894871743,5277.0,58495.0,57822.57356352415
367.5847809930853,10250.0,63188.0,62964.19118784138
370.2229266333256,12986.0,64752.0,64678.06372928046
372.8573713367273,13418.0,65274.0,65249.35457642682
375.4880904909138,11377.0,65448.0,65439.78485880894
378.1150594071318,7279.0,65506.0,65503.26161960298
380.7382533235406,4411.0,65525.0,65524.42053986766
383.357647408502,3408.0,65531.0,65531.47351328922
385.9732167638689,3236.0,65533.0,65533.82450442974
388.5849364282752,3303.0,65534.0,65534.60816814325
391.19278138042534,3534.0,65534.0,65534.869389381085
393.7967265423827,3720.0,65534.0,65534.956463127026
396.39674678286013,3824.0,65534.0,65534.985487709004
398.9928169205087,4142.0,65534.0,65534.99516256966
401.58491172720693,5219.0,65534.0,65534.99838752322
404.17300593135053,10036.0,65534.0,65534.999462507745
406.7570742211416,15120.0,65534.0,65534.99982083592
409.33709124787805,16673.0,65534.0,65534.99994027864
411.9130316292429,16654.0,65534.0,65534.999980092885
414.4848699525934,12659.0,65534.0,65534.9999933643
417.0525807782511,7312.0,65534.0,65534.9999977881
419.6161386427905,4776.0,65534.0,65534.999999262705
422.17551806232854,3643.0,65534.0,65534.99999975424
424.7306935358144,3210.0,65534.0,65534.99999991808
427.2816395483183,3251.0,65534.0,65534.99999997269
429.82833057432134,3695.0,65534.0,65534.9999999909
432.3707410810044,7825.0,65534.0,65534.999999996966
