Wavelength (nm),Scan_ID 1
308.9816663664639,15152.0
311.69052056568233,33184.0
314.39670104133216,33570.0
317.10017258254203,21215.0
319.80090002581204,6511.0
322.498848256934,3738.0
325.19398221291056,2706.0
327.8862668838754,2112.0
330.5756673150127,3117.0
333.2621486084774,3370.0
335.9456759253141,3330.0
338.62621448737787,3280.0
341.30372957925334,2554.0
343.9781865501744,2466.0
346.6495508159446,2623.0
349.31778786085636,2341.0
351.9828632396108,2941.0
354.6447425792376,3087.0
357.3033915810149,3749.0
359.9587760223891,8592.0
362.61086175889403,26312.0
365.2596147260716,34928.0
367.90500094139077,34480.0
370.54698650616797,23327.0
373.1855376074863,7434.0
375.82062052011594,5701.0
378.452201608433,5930.0
381.0802473283404,6479.0
383.7047242291868,6690.0
386.32559895568664,7442.0
388.94283824984,8320.0
391.55640895285205,8066.0
394.1662780070534,9231.0
396.77241245781926,9477.0
399.3747794554895,16424.0
401.9733462572885,39040.0
404.5680802292445,47063.0
407.15894884811013,46799.0
409.7459197032812,39640.0
412.3289604987174,13936.0
414.90803905486143,8159.0
417.483123310559,6663.0
420.0541813249786,6106.0
422.6211812795313,5928.0
425.18409147979037,5802.0
427.7428803574113,6890.0
430.29751647205114,18991.0
432.84796851328895,46613.0
435.3942053025449,57448.0
437.93619579499995,55754.0
440.47390908151687,52575.0
443.0073143905581,17695.0
445.53638109010745,4645.0
448.0610786895881,3887.0
450.5813768417837,3626.0
453.0972453447577,3210.0
455.6086541437726,3263.0
458.11557333321065,3207.0
460.61797315849293,2938.0
463.11582401799933,2895.0
465.60909646498845,2679.0
468.097761209517,2698.0
470.58178912036,2901.0
473.0611512269304,2360.0
475.5358187211986,2727.0
478.0057629596127,2471.0
480.47095546501765,2109.0
482.93136792857547,2722.0
485.3869722116853,2191.0
487.8377403479021,2245.0
490.2836445448576,2573.0
492.7246571861793,2047.0
495.16075083341053,2426.0
497.59189822793036,2186.0
500.01807229287306,2072.0
502.4392461350479,2199.0
504.8553930468589,1960.0
507.26648650822557,2098.0
509.67250018850063,2255.0
512.0734079483916,1946.0
514.4691838418801,2293.0
516.8598021181409,1954.0
519.2452372234626,2176.0
521.6254638031673,2394.0
524.0004567035296,2021.0
526.3701909736968,2176.0
528.7346418676095,2496.0
531.0937848459198,2255.0
533.4475955779122,2975.0
535.7960499434234,3578.0
538.139124034761,8218.0
540.4767941586247,14792.0
542.8090368380244,25087.0
545.1358288142023,38863.0
547.4571470485503,40503.0
549.7729687245302,40272.0
552.0832712495957,32960.0
554.3880322571092,7549.0
556.6872296082634,2959.0
558.980841394,2562.0
561.2688459369306,2272.0
563.5512217932556,2482.0
565.8279477546843,2538.0
568.0990028503542,3359.0
570.3643663487518,5960.0
572.6240177596313,8511.0
574.8779368359349,13256.0
577.1261035757126,19261.0
579.3684982240416,20565.0
581.6051012749463,20272.0
583.8358934733184,16912.0
586.0608558168364,7744.0
588.2799695578843,2768.0
590.4932162054737,2469.0
592.7005775271614,2271.0
594.9020355509703,2250.0
597.0975725673088,2066.0
599.2871711308907,1935.0
601.470814062655,2015.0
603.648484451685,1917.0
605.8201656571298,2050.0
607.9858413101218,1959.0
610.1454953156981,1829.0
612.2991118547196,2058.0
614.446675385791,1970.0
616.5881706471805,1930.0
618.7235826587395,2109.0
620.8528967238225,1970.0
622.9760984312065,2175.0
625.0931736570116,2343.0
627.2041085666199,2143.0
629.3088896165951,2658.0
631.4075035566036,2208.0
633.4999374313334,2095.0
635.5861785824133,2314.0
637.6662146503332,1743.0
639.7400335763648,1848.0
641.8076236044799,1818.0
643.8689732832705,1704.0
645.9240714678695,2088.0
647.9729073218692,1773.0
