Wavelength (nm),Reference 1,Scan_ID 1,Scan_ID 2,Scan_ID 3,Scan_ID 4,Scan_ID 5,Scan_ID 6,Scan_ID 7,Scan_ID 8,Scan_ID 9,Scan_ID 10,Scan_ID 11,Scan_ID 12,Scan_ID 13,Scan_ID 14,Scan_ID 15,Scan_ID 16,Scan_ID 17,Scan_ID 18,Scan_ID 19,Scan_ID 20,Scan_ID 21,Scan_ID 22,Scan_ID 23,Scan_ID 24,Scan_ID 25,Scan_ID 26
411.91073890998695,63981.0,63979.0,63975.0,63963.0,64096.0,64056.0,64033.0,63998.0,62139.0,62388.5,61537.0,44416.5,45226.0,45500.5,19217.5,19155.0,18797.5,61.5,31455.0,30780.0,32018.0,14746.0,14308.0,14430.5,9390.5,9507.0,9503.0
414.4822678297216,63960.0,63999.0,63955.0,63900.0,64081.0,64011.0,64020.0,64005.0,61770.5,62292.0,61564.5,44323.5,45807.0,45545.0,19239.5,19075.5,18846.5,1.0,31603.0,30817.5,31705.5,14680.5,14136.5,14498.0,9344.5,9586.5,9436.5
417.049636715063,63777.0,63823.0,63788.0,63808.0,63794.0,63828.0,63819.0,63860.0,63077.0,63177.0,63002.5,46121.5,47831.5,47072.5,19781.5,19947.0,19654.5,64.0,32512.5,32039.0,32784.5,15217.5,14652.0,14925.0,9608.0,9933.5,9970.0
419.6128176013458,63889.0,63832.0,63813.0,63868.0,63745.0,63869.0,63919.0,63739.0,63884.0,63766.0,63779.0,49063.0,50514.0,50211.0,20968.5,21400.5,20985.0,1.0,34544.5,33867.5,35081.0,16076.0,15617.5,15642.5,10001.0,10488.0,10666.0
422.1717823784235,63826.0,63816.0,63777.0,63778.0,63740.0,63765.0,63896.0,63737.0,63824.0,63792.0,63757.0,52576.0,53849.5,53807.0,22431.0,22759.5,22116.5,1.0,36887.0,36109.0,37116.5,17016.5,16435.0,16634.0,10805.0,11091.5,11290.5
424.7265027909081,63929.0,63865.0,63947.0,63993.0,63943.0,63844.0,63957.0,64048.0,63985.0,63950.0,63848.0,54984.5,56314.0,55913.5,23354.5,23392.0,23136.5,1.0,38407.5,37631.0,38708.5,17757.0,17159.0,17257.5,11510.0,11375.5,11644.0
427.27695043841055,63992.0,63949.0,64082.0,64152.0,64042.0,63980.0,63994.0,64131.0,64094.0,64101.0,63967.0,54962.0,55924.5,55814.0,23318.0,23289.5,23373.5,1.0,38229.0,37900.5,38770.0,17804.5,16962.0,17183.0,11526.0,11410.5,11523.0
429.82309677578036,63789.0,63738.0,63858.0,63895.0,63757.0,63821.0,63856.0,63892.0,63790.0,63900.0,63823.0,53720.5,54460.0,54604.5,22678.0,22794.5,22884.5,1.0,37126.0,37090.0,38077.5,17370.0,16489.5,16919.5,11103.5,11296.0,11350.5
432.3649131133457,63933.0,63754.0,63864.0,63857.0,63804.0,63809.0,63956.0,63914.0,63829.0,63889.0,63859.0,52435.0,53565.5,53364.5,22433.5,22337.5,22184.0,0.5,36585.5,36220.0,37597.5,16941.5,16439.0,16419.5,10855.0,10960.5,11204.0
434.9023706171538,63961.0,63749.0,63870.0,63809.0,63837.0,63733.0,63925.0,63871.0,63858.0,63827.0,63712.0,52691.5,53838.5,53429.0,22660.5,22303.0,22052.0,1.0,36832.5,36482.5,37509.0,16970.0,16344.5,16233.5,10875.0,10944.0,11065.5
437.43544030921004,63853.0,63759.0,63881.0,63803.0,63825.0,63800.0,63920.0,63840.0,63881.0,63803.0,63642.0,54809.0,55963.0,55713.5,23498.0,23491.0,22866.5,1.0,38412.0,37974.5,39115.5,17570.5,16735.5,17196.0,11342.0,11453.5,11347.0
439.96409306771875,63946.0,63912.0,63939.0,63939.0,64001.0,63886.0,64020.0,64005.0,63994.0,63873.0,63835.0,57765.5,58895.5,58965.0,24737.0,24944.5,24398.0,1.0,41158.0,40388.0,41403.5,18549.0,17748.0,18256.5,12149.0,12102.0,12104.5
442.48829962732304,63829.0,63736.0,63855.0,63829.0,63905.0,63694.0,63904.0,63917.0,63786.0,63808.0,63755.0,61401.5,62096.5,62192.0,26116.0,26134.0,25906.0,1.0,44004.5,43083.5,44086.0,19616.0,18865.0,19093.5,12870.0,12735.5,12911.0
445.0080305793449,63885.0,63783.0,63851.0,63865.0,63832.0,63786.0,63844.0,63946.0,63821.0,63896.0,63778.0,63562.5,63866.0,63847.0,27536.5,27551.5,27012.5,1.0,46725.0,45925.0,47021.5,20944.5,20162.5,20132.5,13748.5,13567.5,13631.5
447.5232563720243,64000.0,63839.0,63911.0,63941.0,63913.0,63891.0,63862.0,64021.0,64016.0,63920.0,63844.0,63927.0,63933.0,63901.0,28872.0,28839.0,28127.5,1.0,48983.0,48116.5,49246.5,22028.0,21166.5,21226.0,14283.5,14462.0,14276.5
