Wavelength (nm),Reference 1,Scan_ID 1
311.3714083160095,21899.0,21545.0
314.08175838575823,22271.0,21810.0
316.7889009055516,21390.0,21011.0
319.4928136168536,20050.0,19769.0
322.193474106527,19295.0,18815.0
324.89085980707335,19038.0,18534.0
327.584947996873,18984.0,18595.0
330.2757158004244,19171.0,19012.0
332.96314018858544,19808.0,19614.0
335.64719797881236,20753.0,20331.0
338.3278658354001,21789.0,21323.0
341.00512026972245,23053.0,22580.0
343.6789376404716,24539.0,23940.0
346.3492941538988,25843.0,25154.0
349.0161658640538,26464.0,25906.0
351.67952867302506,26892.0,26445.0
354.3393583311798,27645.0,27191.0
356.99563043740403,28838.0,28373.0
359.64832043934217,30174.0,29658.0
362.29740363363766,30022.0,29454.0
364.94285516617225,27982.0,27434.0
367.58465003230697,25386.0,24870.0
370.22276307712116,23447.0,22915.0
372.8571689956528,23161.0,22772.0
375.4878423331387,24502.0,24342.0
378.1147574852545,26399.0,26022.0
380.7378886983542,28317.0,27731.0
383.3572100697109,30357.0,29928.0
385.9726955477562,32868.0,32359.0
388.5843189323203,36021.0,35434.0
391.19205387487244,39032.0,38382.0
393.7958738787601,41073.0,40182.0
396.3957522994497,42042.0,41357.0
398.99166234476667,42082.0,41450.0
401.5835770751346,42099.0,41222.0
404.17146940381593,42692.0,41889.0
406.755312097152,42937.0,42286.0
409.3350777748028,42725.0,42069.0
411.91073890998695,42544.0,41818.0
414.4822678297216,42949.0,42282.0
417.049636715063,44725.0,43951.0
419.6128176013458,47702.0,46865.0
422.1717823784235,50839.0,49981.0
424.7265027909081,53081.0,51909.0
427.27695043841055,52986.0,51661.0
429.82309677578036,51014.0,49988.0
432.3649131133457,49083.0,48419.0
434.9023706171538,48144.0,47562.0
437.43544030921004,48889.0,48150.0
439.96409306771875,50742.0,50153.0
442.48829962732304,53116.0,52463.0
445.0080305793449,55468.0,54580.0
447.5232563720243,57158.0,56460.0
450.033947310761,58454.0,57671.0
452.5400735583523,58823.0,57893.0
455.04160513523505,58860.0,57796.0
457.5385119197244,59825.0,58749.0
460.0307636482544,60468.0,59611.0
462.51832991561764,60227.0,59308.0
465.0011801752056,59182.0,58220.0
467.4792837392483,56530.0,55410.0
469.9526097790544,53515.0,52168.0
472.42112732525146,51263.0,50348.0
474.8848052680257,49730.0,49161.0
477.34361235736174,50214.0,49353.0
479.7975172032836,53032.0,52054.0
482.24648827609315,57484.0,56758.0
484.6904939066116,61336.0,60860.0
487.12950228641853,62860.0,62469.0
489.56348146809233,60884.0,60250.0
491.9923993654502,54943.0,54191.0
494.4162237537878,48072.0,47423.0
496.8349222701196,42151.0,41408.0
499.2484624134188,36966.0,36461.0
501.6568115448574,33559.0,33188.0
504.05993688804597,31728.0,31320.0
506.4578055292736,30412.0,30071.0
508.8503844177486,29907.0,29563.0
511.2376403658374,30110.0,29873.0
513.6195400493054,30814.0,30572.0
515.9960500075572,31753.0,31310.0
518.367136643875,32789.0,32379.0
520.7327662256605,34241.0,33923.0
523.0929048846738,36348.0,35945.0
525.4475186172741,38837.0,38490.0
527.7965732846587,41572.0,40970.0
530.1400346131041,43261.0,42425.0
532.4778681942053,42872.0,42454.0
534.8100394851159,40747.0,40577.0
537.1365138087885,38060.0,37716.0
539.4572563542139,36098.0,35833.0
541.7722321766622,34704.0,34460.0
544.081406197922,33008.0,32717.0
546.3847432065401,30848.0,30470.0
548.6822078580627,28329.0,27834.0
550.9737646752745,25782.0,25355.0
553.2593780484389,23948.0,23667.0
555.5390122355375,22646.0,22393.0
557.8126313625115,21833.0,21683.0
560.0801994235,21430.0,21439.0
562.3416802810813,21399.0,21324.0
564.5970376665123,21641.0,21474.0
566.8462351799682,21883.0,21682.0
569.0892362907836,22064.0,21969.0
571.3260043376913,22113.0,22030.0
573.5565025290629,21908.0,21741.0
575.7806939431488,21559.0,21267.0
577.9985415283179,20803.0,20492.0
580.2100081032985,19940.0,19673.0
582.4150563574163,19331.0,19082.0
584.613648850837,18854.0,18613.0
586.805748014804,18574.0,18472.0
588.9913161518801,18786.0,18626.0
591.1703154361868,19332.0,18861.0
593.3427079136435,19596.0,19150.0
595.5084555022092,19846.0,19529.0
597.6675199921212,19924.0,19704.0
599.8198630461358,19981.0,19819.0
601.9654461997673,20178.0,19998.0
604.1042308615296,20035.0,19934.0
606.2361783131747,19785.0,19661.0
608.3612497099331,19607.0,19236.0
610.479406080755,18962.0,18613.0
612.5906083285481,18197.0,17905.0
614.6948172304199,17433.0,17163.0
616.7919934379157,16783.0,16655.0
618.8820974772601,16435.0,16421.0
620.9650897495959,16261.0,16296.0
623.0409305312252,16380.0,16203.0
625.1095799738484,16301.0,16116.0
627.1709981048044,16200.0,16065.0
629.2251448273114,16062.0,15901.0
631.2719799207059,15719.0,15576.0
633.3114630406833,15391.0,15180.0
635.3435537195373,14921.0,14795.0
637.3682113664008,14373.0,14310.0
639.3853952674851,13892.0,13882.0
641.3950645863205,13517.0,13484.0
643.3971783639955,13173.0,13158.0
645.3916955193977,12776.0,12811.0
647.3785748494533,12630.0,12465.0
649.3577750293674,12538.0,12312.0
651.3292546128632,12511.0,12390.0
653.2929720324233,12495.0,12440.0
655.2488855995288,12277.0,12312.0
657.196953504899,12148.0,12163.0
659.1371338187328,12014.0,11955.0
661.0693844909471,11782.0,11644.0
662.9936633514176,11510.0,11354.0
664.9099281102187,11112.0,11036.0
666.818136357864,10693.0,10605.0
668.7182455655453,10475.0,10355.0
670.610213085373,10416.0,10266.0
672.4939961506166,10398.0,10114.0
674.369551875944,10231.0,9971.0
