Wavelength (nm),Scan_ID 1,Scan_ID 2,Scan_ID 3,Scan_ID 4,Scan_ID 5,Scan_ID 6,Scan_ID 7
560.0801994235,55781.0,31235.0,20315.0,8371.0,14231.0,4414.0,1419.0
562.3416802810813,55111.0,30974.0,20090.0,8164.0,14101.0,4312.0,1357.0
564.5970376665123,55375.0,30958.0,20085.0,8269.0,14204.0,4377.0,1391.0
566.8462351799682,55992.0,31167.0,20122.0,8290.0,14368.0,4471.0,1389.0
569.0892362907836,56270.0,31381.0,20245.0,8429.0,14435.0,4474.0,1391.0
571.3260043376913,56558.0,31484.0,20200.0,8593.0,14518.0,4470.0,1388.0
573.5565025290629,56079.0,31259.0,20089.0,8257.0,14415.0,4410.0,1321.0
575.7806939431488,54702.0,30593.0,19675.0,8001.0,14080.0,4366.0,1309.0
577.9985415283179,52945.0,29556.0,18969.0,7642.0,13632.0,4254.0,1334.0
580.2100081032985,51190.0,28526.0,18309.0,7187.0,13130.0,4099.0,1245.0
582.4150563574163,49698.0,27779.0,17693.0,7148.0,12701.0,3953.0,1142.0
584.613648850837,48710.0,27085.0,17289.0,6879.0,12380.0,3933.0,1136.0
586.805748014804,48461.0,26832.0,17167.0,6694.0,12363.0,3940.0,1179.0
588.9913161518801,49034.0,27152.0,17316.0,6860.0,12565.0,3968.0,1183.0
591.1703154361868,50107.0,27746.0,17611.0,6969.0,12770.0,4013.0,1160.0
593.3427079136435,50984.0,28293.0,17814.0,7110.0,12924.0,4091.0,1141.0
595.5084555022092,51826.0,28749.0,18067.0,7172.0,13136.0,4154.0,1171.0
597.6675199921212,52135.0,28874.0,18197.0,7109.0,13289.0,4086.0,1195.0
599.8198630461358,52393.0,29055.0,18270.0,7137.0,13318.0,4173.0,1149.0
601.9654461997673,52653.0,29314.0,18328.0,7165.0,13294.0,4195.0,1138.0
604.1042308615296,52185.0,29069.0,18258.0,7087.0,13080.0,4050.0,1181.0
606.2361783131747,51406.0,28580.0,18063.0,7007.0,12726.0,3955.0,1175.0
608.3612497099331,50419.0,27968.0,17744.0,6791.0,12423.0,3906.0,1128.0
