Wavelength (nm),Scan_ID 1,Scan_ID 2,Reference 1
607.9858413101218,16397.0,15868.0,8439.0
610.1454953156981,16031.0,15591.0,8388.0
612.2991118547196,15581.0,15012.0,8025.0
614.446675385791,14818.0,14546.0,7786.0
616.5881706471805,14324.0,13991.0,7389.0
618.7235826587395,13841.0,13533.0,7163.0
620.8528967238225,13672.0,13359.0,7196.0
622.9760984312065,13737.0,13224.0,7146.0
625.0931736570116,13874.0,13425.0,7004.0
627.2041085666199,13653.0,13266.0,7191.0
629.3088896165951,13540.0,13095.0,7179.0
631.4075035566036,13252.0,13007.0,6905.0
633.4999374313334,13058.0,12682.0,6843.0
635.5861785824133,12813.0,12515.0,6553.0
637.6662146503332,12146.0,11766.0,6054.0
639.7400335763648,11787.0,11615.0,6137.0
641.8076236044799,11485.0,11235.0,5858.0
643.8689732832705,10974.0,10779.0,5768.0
645.9240714678695,10761.0,10640.0,5379.0
647.9729073218692,10474.0,10250.0,5628.0
650.0154703192424,10423.0,10062.0,5216.0
652.0517502462606,10254.0,10171.0,5400.0
654.0817372034151,10425.0,10368.0,5346.0
656.1054216073361,10320.0,9944.0,5199.0
658.1227941927128,10192.0,9878.0,5176.0
660.1338460142128,10028.0,9730.0,5090.0
662.1385684484026,9776.0,9600.0,4856.0
664.1369531956658,9576.0,9289.0,5019.0
666.128992282125,9405.0,9010.0,4665.0
668.11467806156,9070.0,8719.0,4616.0
670.0940032173277,8573.0,8520.0,4327.0
672.0669607642828,8621.0,8323.0,4226.0
674.0335440506971,8321.0,8055.0,4374.0
675.9937467601784,8105.0,8160.0,4233.0
677.9475629135915,8317.0,8012.0,4116.0
679.8949868709778,8179.0,7896.0,4056.0
681.8360133334739,7977.0,7674.0,3993.0
683.7706373452328,7723.0,7693.0,3879.0
685.6988542953435,7671.0,7430.0,3737.0
687.620659919749,7245.0,7174.0,3585.0
689.5360503031688,7149.0,7019.0,3681.0
691.4450218810166,6784.0,6820.0,3387.0
693.3475714413213,6742.0,6760.0,3390.0
695.2436961266453,6596.0,6713.0,3364.0
697.1333934360059,6579.0,6587.0,3432.0
699.0166612267947,6732.0,6606.0,3303.0
700.893497716696,6705.0,6514.0,3222.0
702.7639014856082,6549.0,6388.0,3096.0
704.6278714775632,6427.0,6162.0,3071.0
706.4854070026453,6080.0,5873.0,2939.0
708.3365077389121,5854.0,5676.0,2847.0
710.1811737343137,5518.0,5455.0,2755.0
712.0194054086124,5475.0,5175.0,2624.0
713.8512035553027,5436.0,5290.0,2613.0
715.6765693435308,5471.0,5230.0,2528.0
717.4955043200149,5115.0,4981.0,2586.0
719.3080104109642,4962.0,4747.0,2299.0
721.1140899239992,4875.0,4701.0,2284.0
722.9137455500717,4610.0,4538.0,2367.0
724.7069803653836,4590.0,4479.0,2268.0
726.4937978333078,4408.0,4384.0,2238.0
728.2742018063071,4564.0,4181.0,2075.0
730.0481965278548,4343.0,4211.0,2278.0
731.8157866343531,4325.0,4191.0,1984.0
733.5769771570547,4076.0,4077.0,2003.0
735.3317735239812,4046.0,3925.0,1907.0
737.0801815618431,4157.0,3961.0,1828.0
738.8222074979602,4022.0,3717.0,1838.0
740.5578579621804,3923.0,3722.0,1820.0
742.2871399888004,3787.0,3530.0,1680.0
744.0100610184851,3662.0,3583.0,1622.0
745.7266289001868,3691.0,3530.0,1616.0
747.4368518930661,3587.0,3257.0,1520.0
749.1407386684108,3458.0,3392.0,1670.0
750.8382983115558,3331.0,3105.0,1612.0
752.5295403238031,3253.0,3149.0,1581.0
754.2144746243417,3105.0,3141.0,1415.0
755.8931115521667,3024.0,3150.0,1490.0
757.565461868,3138.0,3223.0,1430.0
759.231536756209,3015.0,3087.0,1440.0
760.8913478267274,3008.0,2939.0,1390.0
762.5449071169743,2907.0,2961.0,1385.0
764.1922270937741,2982.0,3010.0,1393.0
765.8333206552765,2954.0,2987.0,1393.0
767.4682011328761,2810.0,2764.0,1329.0
769.0968822931318,2699.0,2743.0,1274.0
770.7193783396879,2563.0,2667.0,1254.0
772.3357039151919,2686.0,2496.0,1242.0
773.9458741032153,2536.0,2520.0,954.0
775.5499044301743,2240.0,2174.0,1066.0
777.1478108672476,2261.0,2268.0,989.0
778.7396098322978,2208.0,2141.0,882.0
780.3253181917901,2031.0,2037.0,984.0
781.904953262713,2227.0,1975.0,855.0
783.4785328144973,2034.0,2121.0,905.0
785.0460750709358,2007.0,1852.0,854.0
786.6075987121044,2098.0,1871.0,825.0
788.1631228762799,1927.0,1858.0,923.0
789.7126671618611,2020.0,1829.0,806.0
791.2562516292885,2005.0,1885.0,794.0
792.7938968029632,1838.0,1849.0,996.0
794.3256236731683,1765.0,1755.0,740.0
795.851453697986,1598.0,1706.0,711.0
797.3714088052207,1786.0,1620.0,908.0
798.8855113943159,1753.0,1600.0,654.0
800.3937843382756,1570.0,1624.0,823.0
801.8962509855836,1711.0,1697.0,825.0
803.3929351621232,1705.0,1670.0,739.0
804.8838611730966,1583.0,1550.0,731.0
806.3690538049461,1753.0,1606.0,749.0
807.848538327272,1549.0,1529.0,595.0
809.3223404947536,1732.0,1541.0,809.0
810.7904865490682,1378.0,1534.0,635.0
812.2530032208118,1690.0,1579.0,750.0
813.7099177314184,1715.0,1671.0,676.0
815.1612577950791,1755.0,1771.0,820.0
816.6070516206629,1994.0,2006.0,833.0
818.047327913636,2166.0,2105.0,904.0
819.4821158779814,2342.0,2265.0,943.0
820.9114452181192,2541.0,2435.0,1119.0
822.3353461408259,2481.0,2714.0,1209.0
823.7538493571541,2657.0,2619.0,1345.0
825.1669860843529,2629.0,2773.0,1210.0
826.5747880477867,2762.0,2706.0,1224.0
827.9772874828562,2677.0,2661.0,1139.0
829.3745171369171,2489.0,2614.0,1086.0
830.7665102711999,2486.0,2474.0,1012.0
832.1533006627307,2327.0,2144.0,951.0
833.5349226062499,1947.0,1837.0,730.0
834.9114109161326,1708.0,1586.0,782.0
836.2828009283078,1831.0,1608.0,832.0
837.6491285021784,1520.0,1428.0,644.0
839.0104300225419,1248.0,1182.0,570.0
840.366742401508,1178.0,1178.0,522.0
841.7181030804212,1105.0,1072.0,594.0
843.0645500317778,1041.0,938.0,358.0
844.4061217611475,1070.0,790.0,539.0
845.7428573090924,1017.0,990.0,216.0
847.0747962530872,829.0,765.0,481.0
848.4019787094388,822.0,762.0,366.0
849.7244453352057,774.0,624.0,240.0
851.0422373301179,682.0,783.0,335.0
852.3553964384973,644.0,531.0,304.0
853.663964951177,627.0,617.0,329.0
854.9679857074207,623.0,614.0,162.0
856.2675020968429,537.0,674.0,288.0
857.5625580613289,623.0,612.0,404.0
858.8531980969543,502.0,557.0,418.0
860.1394672559039,520.0,414.0,230.0
861.4214111483939,481.0,396.0,264.0
862.6990759445885,643.0,519.0,139.0
863.9725083765215,719.0,471.0,194.0
865.2417557400174,532.0,498.0,314.0
866.5068658966076,525.0,620.0,244.0
867.7678872754525,438.0,592.0,130.0
869.0248688752623,587.0,595.0,295.0
870.2778602662137,605.0,593.0,353.0
871.5269115918724,597.0,689.0,240.0
872.7720735711117,587.0,567.0,279.0
874.0133975000316,696.0,783.0,374.0
875.2509352538805,752.0,892.0,482.0
876.4847392889731,945.0,897.0,422.0
877.7148626446107,1020.0,831.0,518.0
878.9413589450018,1055.0,956.0,563.0
880.1642824011811,974.0,1176.0,504.0
881.3836878129291,984.0,898.0,290.0
882.599630570692,1123.0,992.0,524.0
