Wavelength (nm),X: 0 Y: 0,X: 0 Y: 1,X: 0 Y: 2,X: 0 Y: 3,X: 0 Y: 4,X: 0 Y: 5,X: 0 Y: 6,X: 0 Y: 7,X: 0 Y: 8,X: 0 Y: 9,X: 1 Y: 9,X: 1 Y: 8,X: 1 Y: 7,X: 1 Y: 6,X: 1 Y: 5,X: 1 Y: 4,X: 1 Y: 3,X: 1 Y: 2,X: 1 Y: 1,X: 1 Y: 0,X: 2 Y: 0,X: 2 Y: 1,X: 2 Y: 2,X: 2 Y: 3,X: 2 Y: 4,X: 2 Y: 5,X: 2 Y: 6,X: 2 Y: 7,X: 2 Y: 8,X: 2 Y: 9,X: 3 Y: 9,X: 3 Y: 8,X: 3 Y: 7,X: 3 Y: 6,X: 3 Y: 5,X: 3 Y: 4,X: 3 Y: 3,X: 3 Y: 2,X: 3 Y: 1,X: 3 Y: 0,X: 4 Y: 0,X: 4 Y: 1,X: 4 Y: 2,X: 4 Y: 3,X: 4 Y: 4,X: 4 Y: 5,X: 4 Y: 6,X: 4 Y: 7,X: 4 Y: 8,X: 4 Y: 9,X: 5 Y: 9,X: 5 Y: 8,X: 5 Y: 7,X: 5 Y: 6,X: 5 Y: 5,X: 5 Y: 4,X: 5 Y: 3,X: 5 Y: 2,X: 5 Y: 1,X: 5 Y: 0,X: 6 Y: 0,X: 6 Y: 1,X: 6 Y: 2,X: 6 Y: 3,X: 6 Y: 4,X: 6 Y: 5,X: 6 Y: 6,X: 6 Y: 7,X: 6 Y: 8,X: 6 Y: 9,X: 7 Y: 9,X: 7 Y: 8,X: 7 Y: 7,X: 7 Y: 6,X: 7 Y: 5,X: 7 Y: 4,X: 7 Y: 3,X: 7 Y: 2,X: 7 Y: 1,X: 7 Y: 0,X: 8 Y: 0,X: 8 Y: 1,X: 8 Y: 2,X: 8 Y: 3,X: 8 Y: 4,X: 8 Y: 5,X: 8 Y: 6,X: 8 Y: 7,X: 8 Y: 8,X: 8 Y: 9,X: 9 Y: 9,X: 9 Y: 8,X: 9 Y: 7,X: 9 Y: 6,X: 9 Y: 5,X: 9 Y: 4,X: 9 Y: 3,X: 9 Y: 2,X: 9 Y: 1,X: 9 Y: 0
311.3714083160349,36405.333333333336,32917.333333333336,31260.333333333332,26080.0,25720.666666666668,24322.333333333332,21638.0,22114.666666666668,21440.666666666668,24454.0,25472.666666666668,32342.0,30393.666666666668,29617.666666666668,31754.333333333332,34283.333333333336,37248.0,42967.0,55011.333333333336,65535.0,65535.0,51493.333333333336,43613.0,47296.0,42799.0,41280.0,39480.0,38352.666666666664,33920.0,28653.333333333332,26015.0,34170.333333333336,30687.666666666668,36269.333333333336,31363.333333333332,32704.0,32088.666666666668,35018.666666666664,32277.0,48162.666666666664,13775.0,26485.0,26711.666666666668,24517.333333333332,24041.333333333332,26800.0,26103.0,26807.666666666668,26525.333333333332,22058.666666666668,15357.333333333334,18124.333333333332,17703.666666666668,17884.666666666668,18362.333333333332,17349.0,18607.666666666668,18247.0,17222.666666666668,17440.333333333332,29428.333333333332,12559.666666666666,12384.0,12802.666666666666,12769.333333333334,13051.333333333334,13462.0,12971.0,13373.0,12008.666666666666,9414.0,9047.666666666666,9372.0,9687.333333333334,9643.333333333334,9164.0,10063.0,9296.333333333334,9564.0,14655.666666666666,15793.666666666666,33426.333333333336,26178.333333333332,25390.0,23709.0,20471.0,20621.0,20325.333333333332,18189.333333333332,17736.0,13299.333333333334,32824.0,17020.333333333332,17559.0,19552.666666666668,13875.333333333334,19209.666666666668,21208.0,28616.0,24941.333333333332
314.0817583865714,35978.666666666664,32608.0,30745.666666666668,25776.0,25347.333333333332,24018.333333333332,21304.666666666668,21991.666666666668,21371.333333333332,24142.0,25093.0,31744.666666666668,29828.333333333332,29073.666666666668,31143.0,33757.0,36743.666666666664,42128.0,53731.333333333336,65535.0,65535.0,51738.666666666664,44239.666666666664,47856.666666666664,43329.666666666664,41538.333333333336,40077.333333333336,39008.0,34450.666666666664,29181.333333333332,26177.666666666668,34378.333333333336,30948.666666666668,36504.0,31586.333333333332,32818.666666666664,32366.0,35232.0,32490.333333333332,47588.333333333336,13882.333333333334,27301.0,27440.666666666668,25228.333333333332,24784.333333333332,27298.333333333332,26805.333333333332,27500.333333333332,27069.333333333332,22679.666666666668,15426.333333333334,18268.333333333332,17714.333333333332,18010.333333333332,18652.333333333332,17509.0,18725.0,18410.333333333332,17434.333333333332,17424.333333333332,29332.333333333332,12934.666666666666,12840.666666666666,12994.666666666666,13055.0,13232.666666666666,13613.666666666666,13141.666666666666,13562.333333333334,12229.0,9405.0,9063.666666666666,9441.333333333334,9722.0,9703.666666666666,9232.666666666666,10055.0,9403.0,9633.333333333334,14736.666666666666,15807.0,34253.0,27098.333333333332,26197.0,24402.333333333332,21186.666666666668,21405.0,21109.333333333332,18825.666666666668,18162.666666666668,13606.0,33405.333333333336,17469.0,17888.0,19827.0,14026.333333333334,19545.666666666668,21528.0,28934.0,24847.666666666668
316.78890091172656,34496.0,31285.333333333332,29520.0,24848.0,24257.666666666668,23205.0,20417.666666666668,21228.666666666668,20709.0,23336.666666666668,23933.0,30416.666666666668,28498.666666666668,27705.666666666668,29599.0,32241.666666666668,34887.666666666664,39882.666666666664,51082.666666666664,65535.0,65535.0,50266.666666666664,43173.0,46363.333333333336,42325.333333333336,40655.666666666664,39077.333333333336,38112.0,33656.0,28584.0,25472.0,33440.0,29946.333333333332,35096.0,30666.333333333332,31866.666666666668,31472.0,34229.333333333336,31493.333333333332,45775.0,13645.0,26927.666666666668,26904.666666666668,24961.666666666668,24493.0,26775.666666666668,26317.333333333332,27125.333333333332,26477.333333333332,22386.333333333332,15050.333333333334,17649.666666666668,17138.333333333332,17456.0,17936.0,16949.333333333332,18085.0,17818.333333333332,16867.333333333332,16991.666666666668,28373.333333333332,12719.666666666666,12518.0,12773.333333333334,12722.666666666666,12992.666666666666,13341.666666666666,12906.333333333334,13202.666666666666,12028.666666666666,9204.333333333334,8849.666666666666,9186.333333333334,9477.0,9473.666666666666,8983.0,9765.333333333334,9295.666666666666,9445.0,14306.666666666666,15338.666666666666,33429.333333333336,26671.0,25887.666666666668,23919.666666666668,20962.666666666668,21240.0,20778.666666666668,18607.0,17856.0,13370.666666666666,32458.666666666668,17202.333333333332,17578.666666666668,19311.666666666668,13770.333333333334,19088.0,21010.666666666668,27974.0,24373.0
319.4928136428748,33056.0,30016.0,28416.0,23952.0,23445.333333333332,22322.666666666668,19626.666666666668,20460.666666666668,19914.333333333332,22392.0,22898.333333333332,28981.333333333332,27344.0,26378.666666666668,28288.0,30812.333333333332,32983.666666666664,38080.0,48597.333333333336,65535.0,65535.0,48730.666666666664,41906.666666666664,44870.0,41066.666666666664,39215.666666666664,37845.333333333336,36688.0,32717.333333333332,27760.0,24877.333333333332,32224.0,28879.666666666668,33642.666666666664,29631.0,30674.666666666668,30410.666666666668,33098.666666666664,30400.0,43983.0,13442.333333333334,26458.666666666668,26410.666666666668,24343.0,24119.0,26071.666666666668,25698.666666666668,26570.666666666668,25909.333333333332,21938.333333333332,14399.666666666666,16869.333333333332,16288.0,16689.666666666668,17125.333333333332,16160.0,17381.333333333332,17039.666666666668,16112.0,16405.333333333332,27434.666666666668,12351.666666666666,12408.666666666666,12520.0,12488.0,12618.666666666666,12951.666666666666,12570.666666666666,12770.666666666666,11820.0,9015.0,8655.0,8909.333333333334,9212.333333333334,9215.0,8761.666666666666,9533.333333333334,9017.666666666666,9146.666666666666,13922.666666666666,14952.0,32128.0,25808.0,25180.333333333332,23061.333333333332,20394.666666666668,20581.333333333332,20229.333333333332,18111.0,17290.666666666668,13128.0,31392.0,16765.0,17024.0,18701.0,13434.333333333334,18496.0,20469.333333333332,26907.333333333332,23466.333333333332
322.1934741859375,31957.333333333332,29066.666666666668,27514.666666666668,23248.0,22826.666666666668,21704.0,19093.333333333332,19882.333333333332,19301.0,21792.0,21994.666666666668,28000.0,26301.333333333332,25413.333333333332,27285.333333333332,29696.0,31552.0,36597.333333333336,46800.0,65535.0,65535.0,47658.666666666664,40896.0,43648.0,39893.333333333336,38338.666666666664,37002.666666666664,35840.0,32021.333333333332,27136.0,24237.333333333332,31328.0,28192.0,32581.333333333332,28864.0,30066.666666666668,29626.666666666668,32384.0,29696.0,42517.333333333336,13162.666666666666,26090.666666666668,26005.333333333332,23946.666666666668,23840.0,25728.0,25200.0,26058.666666666668,25600.0,21501.333333333332,13882.666666666666,16128.0,15754.666666666666,16049.666666666666,16429.333333333332,15509.333333333334,16650.666666666668,16341.333333333334,15533.333333333334,15928.666666666666,26816.0,11984.0,11952.0,12318.0,12197.333333333334,12213.333333333334,12664.666666666666,12266.666666666666,12416.0,11410.333333333334,8672.0,8333.333333333334,8616.0,8780.333333333334,8872.0,8461.333333333334,9258.666666666666,8722.666666666666,8869.333333333334,13509.333333333334,14541.333333333334,30992.0,25013.333333333332,24626.666666666668,22293.333333333332,19813.333333333332,19925.333333333332,19648.0,17557.333333333332,16864.0,12698.333333333334,30533.333333333332,16165.333333333334,16565.333333333332,18261.333333333332,13096.666666666666,17887.0,19818.666666666668,25861.333333333332,22816.0
324.89086000467205,31456.0,28853.333333333332,27365.333333333332,23210.666666666668,22624.0,21429.333333333332,19050.666666666668,19728.0,19114.666666666668,21360.0,21610.666666666668,27530.666666666668,25805.333333333332,25018.666666666668,26944.0,29034.666666666668,30997.333333333332,36032.0,45824.0,65535.0,65535.0,47296.0,40832.0,43349.333333333336,39616.0,37984.0,36810.666666666664,35850.666666666664,32010.666666666668,26944.0,24365.333333333332,31093.333333333332,28181.333333333332,32560.0,28730.666666666668,30088.0,29434.666666666668,32314.666666666668,29573.333333333332,42026.666666666664,13008.0,26240.0,26218.666666666668,24000.0,23835.333333333332,25745.666666666668,25389.333333333332,26045.333333333332,25824.0,21549.333333333332,13436.333333333334,15914.666666666666,15509.333333333334,15676.333333333334,16173.333333333334,15176.0,16258.333333333334,15978.666666666666,15208.0,15784.666666666666,26570.666666666668,11896.0,11928.0,12184.666666666666,12160.0,12080.0,12532.0,12074.666666666666,12280.0,11160.666666666666,8410.666666666666,8160.0,8456.0,8604.333333333334,8706.666666666666,8363.333333333334,9024.0,8429.333333333334,8608.0,13426.666666666666,14421.333333333334,30528.0,24608.0,24413.333333333332,21989.333333333332,19408.0,19496.0,19472.0,17370.666666666668,16661.333333333332,12538.333333333334,30314.666666666668,15888.0,16272.0,17856.0,13000.0,17663.0,19402.666666666668,25458.666666666668,22538.666666666668
327.58494842396163,31776.0,29157.333333333332,27546.666666666668,23392.0,22869.333333333332,21802.666666666668,19210.666666666668,19984.0,19328.666666666668,21722.666666666668,21600.0,27802.666666666668,25976.0,25061.333333333332,26848.0,28997.333333333332,31106.666666666668,35989.333333333336,45700.333333333336,65535.0,65535.0,47680.0,41349.333333333336,43608.0,39994.666666666664,38410.666666666664,37184.0,36405.333333333336,32469.333333333332,27312.0,24877.333333333332,31802.666666666668,28741.0,33210.666666666664,29214.0,30805.333333333332,30053.333333333332,32997.333333333336,30266.666666666668,42496.0,13136.0,26773.333333333332,26773.333333333332,24578.666666666668,24358.0,26398.666666666668,26104.0,26536.0,26362.666666666668,22114.666666666668,13504.666666666666,15968.0,15529.666666666666,15573.333333333334,16258.666666666666,15154.666666666666,16279.666666666666,16032.0,15288.0,16035.333333333334,26933.333333333332,12152.0,12005.0,12283.333333333334,12261.0,12234.666666666666,12662.666666666666,12172.333333333334,12504.0,11163.333333333334,8322.666666666666,8098.666666666667,8488.0,8576.0,8674.666666666666,8331.333333333334,9021.0,8392.0,8618.666666666666,13503.666666666666,14597.333333333334,30710.0,24762.666666666668,24584.0,22250.666666666668,19514.666666666668,19682.666666666668,19664.0,17450.666666666668,16837.0,12469.0,30592.0,16013.0,16442.666666666668,17898.666666666668,13016.0,17748.333333333332,19306.666666666668,25475.333333333332,22965.333333333332
330.2757166331037,32749.333333333332,29893.333333333332,28394.666666666668,24069.333333333332,23616.0,22597.333333333332,19733.333333333332,20517.333333333332,19790.0,22058.666666666668,22065.666666666668,28373.333333333332,26496.0,25440.0,27264.666666666668,29477.333333333332,31533.0,36576.0,46607.0,65535.0,65535.0,49046.0,42359.0,44610.666666666664,41152.0,39434.666666666664,38069.333333333336,37397.333333333336,33621.333333333336,28154.666666666668,26016.0,33168.0,29701.0,34448.0,30291.333333333332,31808.0,31264.0,34330.666666666664,31450.666666666668,43773.333333333336,13385.666666666666,28074.666666666668,27856.666666666668,25693.333333333332,25190.0,27380.0,27040.0,27570.666666666668,27248.0,23090.666666666668,13590.0,16251.333333333334,15705.666666666666,15781.333333333334,16375.0,15458.666666666666,16518.666666666668,16237.333333333334,15456.666666666666,16453.333333333332,27594.333333333332,12340.333333333334,12226.333333333334,12396.333333333334,12437.0,12440.0,12771.333333333334,12428.333333333334,12718.0,11288.666666666666,8325.333333333334,8087.666666666667,8439.666666666666,8620.333333333334,8674.666666666666,8294.0,8975.666666666666,8354.666666666666,8600.0,13682.333333333334,14896.0,31462.0,25245.333333333332,24924.333333333332,22773.333333333332,19848.0,20130.666666666668,19877.333333333332,17914.666666666668,17093.0,12595.333333333334,31370.666666666668,16434.333333333332,16561.666666666668,18168.666666666668,13253.0,18058.333333333332,19573.333333333332,25874.333333333332,23493.0
332.9631416891006,34664.0,31472.0,29834.666666666668,25285.333333333332,25048.0,23920.0,20848.0,21594.666666666668,20830.0,23338.666666666668,22849.666666666668,29632.0,27669.333333333332,26421.333333333332,28149.666666666668,30528.666666666668,32781.0,38010.333333333336,48409.666666666664,65535.0,65535.0,51296.666666666664,44449.666666666664,46914.666666666664,43051.333333333336,41114.666666666664,39818.666666666664,39306.666666666664,35349.333333333336,29776.666666666668,27552.0,35386.666666666664,31541.0,36426.666666666664,32184.666666666668,33664.0,33162.666666666664,36421.333333333336,33457.666666666664,46024.0,14009.666666666666,30186.666666666668,29648.666666666668,27368.0,26802.666666666668,29165.0,28730.666666666668,29421.0,28858.666666666668,24616.0,14127.666666666666,16779.0,16233.666666666666,16389.0,16972.0,16077.0,17257.666666666668,16872.0,15990.0,17077.333333333332,29066.333333333332,12852.333333333334,12759.666666666666,12951.0,12895.666666666666,12893.333333333334,13272.0,12995.333333333334,13235.333333333334,11781.333333333334,8629.333333333334,8263.666666666666,8621.0,8784.666666666666,8852.333333333334,8445.0,9261.0,8564.333333333334,8744.0,14229.0,15608.0,33035.333333333336,26496.666666666668,25969.666666666668,23824.0,20749.333333333332,21255.666666666668,20719.666666666668,18730.333333333332,17839.666666666668,12984.666666666666,32869.333333333336,17178.333333333332,17334.666666666668,19037.0,13818.333333333334,18791.666666666668,20546.666666666668,26943.666666666668,24565.0
335.647200519948,37394.666666666664,33738.666666666664,32082.666666666668,27208.0,27144.0,25792.0,22453.0,23301.333333333332,22546.666666666668,25040.0,24012.333333333332,31253.333333333332,29245.333333333332,27898.666666666668,29731.0,32131.0,34618.333333333336,40117.0,51026.333333333336,65535.0,65535.0,54646.0,47345.666666666664,49984.0,45917.666666666664,43952.0,42442.333333333336,41717.333333333336,37685.333333333336,31872.666666666668,29717.333333333332,38218.333333333336,34042.333333333336,39189.333333333336,34607.666666666664,36213.333333333336,35893.0,39194.666666666664,36135.666666666664,49234.666666666664,14852.333333333334,33093.0,32166.0,29613.0,29171.333333333332,31405.0,30938.666666666668,32039.333333333332,31200.0,26589.333333333332,14872.666666666666,17723.0,17222.0,17322.333333333332,17860.0,17069.666666666668,18288.666666666668,17938.666666666668,16835.333333333332,18109.0,31061.0,13466.333333333334,13404.333333333334,13547.333333333334,13562.666666666666,13528.0,13989.333333333334,13734.666666666666,13891.333333333334,12336.0,8978.333333333334,8550.666666666666,8965.666666666666,9164.0,9247.0,8681.333333333334,9538.666666666666,8913.333333333334,9124.333333333334,14968.666666666666,16424.0,35332.333333333336,28176.666666666668,27537.666666666668,25378.666666666668,22104.0,22586.333333333332,22154.333333333332,19989.0,19017.666666666668,13837.666666666666,35263.666666666664,18239.0,18370.0,20274.333333333332,14725.0,20013.0,21917.0,28799.0,26210.333333333332
