wl,S001,S002
386.898802,30240.285714,30240.285714
387.350758,30817.285714,30817.285714
387.802699,31130.571429,31130.571429
388.254627,31543.000000,31543.000000
388.706540,31833.142857,31833.142857
389.158440,32201.571429,32201.571429
389.610325,32555.285714,32555.285714
390.062196,32719.285714,32719.285714
390.514053,33035.285714,33035.285714
390.965896,33561.142857,33561.142857
391.417725,34015.142857,34015.142857
391.869540,34625.142857,34625.142857
392.321340,35070.857143,35070.857143
392.773127,35301.428571,35301.428571
393.224899,35701.571429,35701.571429
393.676657,35850.285714,35850.285714
394.128401,35905.571429,35905.571429
394.580131,35924.714286,35924.714286
395.031847,35560.571429,35560.571429
395.483548,35430.000000,35430.000000
395.935235,35449.142857,35449.142857
396.386908,35473.000000,35473.000000
396.838567,35446.571429,35446.571429
397.290212,35157.142857,35157.142857
397.741842,35028.714286,35028.714286
398.193458,35191.285714,35191.285714
398.645060,35337.857143,35337.857143
399.096648,35229.571429,35229.571429
399.548221,35416.857143,35416.857143
399.999780,35565.285714,35565.285714
400.451325,35883.142857,35883.142857
400.902855,36108.142857,36108.142857
401.354372,36331.285714,36331.285714
401.805873,36347.000000,36347.000000
402.257361,36540.571429,36540.571429
402.708834,36921.142857,36921.142857
403.160293,37274.428571,37274.428571
403.611738,37481.714286,37481.714286
404.063168,37916.142857,37916.142857
404.514584,38356.285714,38356.285714
404.965985,38743.714286,38743.714286
405.417372,39351.285714,39351.285714
405.868745,39376.142857,39376.142857
406.320103,39577.857143,39577.857143
406.771447,39685.714286,39685.714286
407.222776,39774.000000,39774.000000
407.674091,39890.571429,39890.571429
408.125391,40180.714286,40180.714286
408.576678,40463.285714,40463.285714
409.027949,40848.285714,40848.285714
409.479206,40867.857143,40867.857143
409.930449,41116.857143,41116.857143
410.381677,41189.857143,41189.857143
410.832891,41431.571429,41431.571429
411.284090,41451.714286,41451.714286
411.735275,41434.428571,41434.428571
412.186445,41521.857143,41521.857143
412.637601,41775.285714,41775.285714
413.088742,42059.714286,42059.714286
413.539868,42477.142857,42477.142857
413.990980,42762.428571,42762.428571
414.442078,43491.857143,43491.857143
414.893161,44249.714286,44249.714286
415.344229,45091.428571,45091.428571
415.795283,46128.714286,46128.714286
416.246322,47253.285714,47253.285714
416.697346,48290.142857,48290.142857
417.148356,49385.000000,49385.000000
417.599352,50349.571429,50349.571429
418.050332,51463.000000,51463.000000
418.501298,52455.285714,52455.285714
