Wavelength (nm),Reference 1,Scan_ID 1
306.1141919731965,26503.0,65535.0
308.81775821976737,33447.0,65535.0
311.51889624091206,32639.0,65535.0
314.2175675977282,23076.0,65535.0
316.9137339132078,11765.0,65535.0
319.6073568742315,5272.0,50235.0
322.29839823356406,2875.0,27180.0
324.9868198118489,2122.0,16997.0
327.67258349960326,2024.0,16160.0
330.35565125921363,2175.0,19889.0
333.03598512693014,2177.0,22810.0
335.71354721486216,1949.0,22355.0
338.38829971297264,1663.0,17848.0
341.0602048910739,1494.0,13037.0
343.729225100822,1521.0,11470.0
346.3953227777121,1597.0,11999.0
349.05846044307344,1693.0,13690.0
351.7186007060643,1942.0,16774.0
354.3757062656669,2457.0,22769.0
357.0297399126825,10626.0,39722.0
359.6806645317266,26839.0,56930.0
362.328443103224,38610.0,62666.0
364.973038705403,41280.0,64578.0
367.6144145162916,30897.0,65216.0
370.2525338157117,15559.0,65428.0
372.8873599872744,7953.0,65499.0
375.5188565203751,5402.0,65523.0
378.14698701218816,4731.0,65531.0
380.7717151696623,4759.0,65533.0
383.3930048115154,5106.0,65534.0
386.0108198702296,5653.0,65534.0
388.6251243940464,6176.0,65534.0
391.23588254896146,6698.0,65534.0
393.8430586207198,7425.0,65534.0
396.44661701681036,10691.0,65534.0
399.0465222684619,27521.0,65534.0
401.64273903263745,47730.0,65534.0
404.235232094029,56130.0,65534.0
406.8239663670533,49787.0,65534.0
409.40890689784624,30943.0,65534.0
411.99001886625825,16188.0,65534.0
414.5672675878491,10046.0,65534.0
417.14061851588275,7511.0,65534.0
419.7100372433231,6449.0,65534.0
422.27548950482804,6126.0,65534.0
424.8369411787452,6263.0,65534.0
427.3943582891064,8611.0,65534.0
429.9477070076233,28996.0,65534.0
432.49695365568186,53355.0,65534.0
435.0420647063375,61475.0,65534.0
437.58300678631036,64181.0,65534.0
440.1197466779801,46469.0,65534.0
442.652251321381,20726.0,61686.0
445.1804878161966,10713.0,51753.0
447.70442342375526,7184.0,42331.0
450.22402556902523,5908.0,36316.0
452.7392618426089,5432.0,32020.0
455.25010000273863,5333.0,29239.0
457.75650797727127,5261.0,26956.0
460.25845386568335,5263.0,24995.0
462.75590594106615,5201.0,23275.0
465.2488326521209,4990.0,21547.0
467.73720262515303,4920.0,20118.0
470.220984666068,4910.0,18850.0
472.70014776236604,4912.0,17512.0
475.1746610851372,4902.0,16263.0
477.64449399105604,4725.0,14970.0
480.10961602437715,4622.0,13788.0
