Part,Description,Vendor,RQ,PN,MOQ,MOQ Cost,link,Inventory,type
Mini USB B connector shell,Connect arduino to pi,Adafruit,1,1389,1.00,$0.95,https://www.adafruit.com/product/1389,3,Base ESS (Connectors)
Motor Driver,Drive any motor used for module control,Digikey,1,497-2936-5-ND,1.00,$4.15,https://www.digikey.com/en/products/detail/stmicroelectronics/L293D/634700,5,Module Components
Motor PCB,Control Motor for water Pump Probe,JLC PCB,1,,5.00,$19.75,jlcpcb.com,4,Module Components
On/Off switch,On/Off switch,Adafruit,1,915,1.00,$4.95,https://www.adafruit.com/product/915,4,Base ESS (Connectors)
Panel Mount USB input,Connect USB flash drive or mouse/keyboard,Adafruit,1,4055,1.00,$4.95,https://www.adafruit.com/product/4055,4,Base ESS (Connectors)
Potentiometer,,Digikey,1,,1.00,$1.98,https://www.digikey.com/en/products/detail/3313J-1-103E/3313J-103ECT-ND/612894?itemSeq=341084395,15,Base ESS (Electronics)
R bend HDMI connector,connect touch screen to Pi,Adafruit,2,3549,1,$6.50,https://www.adafruit.com/product/3549,6,Base ESS (Connectors)
Raspberry Pi 3B+,"Main microprocessor used for controlling saving of files and
graphical user interface",Adafruit,1,3775,1,$35.00,https://www.adafruit.com/product/3775,1,Base ESS (Electronics)
Raspberry Pi Standoff,Allow connection of Pi to PCB board,Adafruit,1,1979,1,$2.95,https://www.adafruit.com/product/1979,1,Screws
Ribbon Cable 30cm,connect screen to Pi,Adafruit,$1.00,3562,1,$1.95,https://www.adafruit.com/product/3561,4,Base ESS (Connectors)
"SD Card, 32gb Class 10",Card for Pi OS and software,Amazon*,$1.00,3561,1,$8.35,https://www.amazon.com/SanDisk-Ultra-UHS-I-Memory-Adapter/dp/B00M55C0NS,3,Base ESS (Electronics)
SMD USB,Mount a USB onto the PCB,Digikey,1,AE11187-ND,1,$0.82,https://www.digikey.com/en/products/detail/assmann-wsw-components/au-y1006-2/5031761,1,Base ESS (Electronics)
Screw terminal,Connect jumper wires to power or motors,Digikey,2,277-1247-ND,1,$1.09,https://www.digikey.com/en/products/detail/phoenix-contact/1729128/260615?utm_adgroup=Connectors%2C%20Interconnects&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Phoenix%20Contact_0277_Co-op&utm_term=&utm_content=Connectors%2C%20Interconnects&gclid=Cj0KCQiAgomBBhDXARIsAFNyUqOunayGAoaaC8ZQjxEh-h3qxKRR7dxQVQoREdKV1KMICaoebl4OgUIaAt-4EALw_wcB,30,Base ESS (Connectors)
Straight HDMI connector,connect Pi to touch screen,Adafruit,1,,1,$6.50,https://www.adafruit.com/product/3548,1,Base ESS (Electronics)
Stepper motor driver,For Module 1 ,Amazon*,1,,5,$10.99,https://www.amazon.com/gp/product/B01FFGAKK8/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&psc=1,,
USB connector shells,Connect Pi to screen and arduino to Pi,Adafruit,3,1827,1,$0.95,https://www.adafruit.com/product/1827,4,Base ESS (Electronics)
Spectrometer Headers/Socket,Connector for spectrometer to breakout board,Digikey,1,115-87-314-41-003101,,$0.92,https://www.digikey.com/en/products/detail/preci-dip/115-87-314-41-003101/3757295?s=N4IgTCBcDaIIxwKwFoAcB2ZBmOAWZucyADMTsXCALoC%2BQA,2,Base ESS (Electronics)
Spectrometer Buck/Boost,Supply for spectrometer,Digikey,1,,1,$1.56,https://www.digikey.com/en/products/detail/richtek-usa-inc/RT6150AGQW/4733180?s=N4IgTCBcDaIEoBUBsBGArABgIIHECKA6iALoC%2BQA%20,2,Base ESS (Electronics)
Digital Buffer,Buffer for spectrometer Inputs ,Digikey ,1,,1,$0.48,https://www.digikey.com/en/products/detail/on-semiconductor/MC74VHCT125ADTRG/1481050?s=N4IgTCBcDaILIGEDsAWAagCQQFQIxgFYBBAEWwCUBxEAXQF8g,1,Base ESS (Electronics)
Schottky Diode,Power regulation for spec,Digikey,1,,1,$0.54,https://www.digikey.com/en/products/detail/diodes-incorporated/SBR3U30P1-7/1629594?s=N4IgTCBcDaIMoCEBKBmAqigDABQIwFoB2EAXQF8g%20,1,Base ESS (Electronics)
Solder Paste,Solder Breakout board,Adafruit,1,,1,$6.95,https://www.adafruit.com/product/3217,1,Base ESS (Electronics)
Linear Regulator ,Power regulation for spec,Mouser,1,,1,$0.37,https://www.mouser.com/ProductDetail/Toshiba/TCR2EE50LMCT?qs=%2Fha2pyFadujrlu9f68EF3keQwFiaomRKvJ4U7ZJx1G5nxwPcl7f5rQ%3D%3D,1,Base ESS (Electronics)
Op Amp,Spectrometer Analog Buffer,Digikey,1,,1,$1.48,https://www.digikey.com/en/products/detail/texas-instruments/LMV710M5-NOPB/364394?s=N4IgTCBcDaIDIFkBqB2AjABgQVgPQDkB5ABQCEBhAFQFp8AREAXQF8g,1,Base ESS (Electronics)
Capacitor,For main PCB,Digikey,2,PCE4315CT-ND,1,$0.94,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEE-FK1C471GP/1014286?s=N4IgTCBcDaIAoGECiAWAzARgKwICoFoA5AERAF0BfIA,0,Base ESS (Electronics)
Resistor 10k,For main PCB,Digikey,1,13-RT0603FRE1310KLCT-ND,1,$0.05,digikey.com,0,Base ESS (Electronics)
Resistor 4.7k,For main PCB,Digikey,1,13-RE0603FRE074K7LCT-ND,1,$0.05,digikey.com,0,Base ESS (Electronics)
SMA-905 (128 Micron),Interconnects for Main System,Thor Labs,2,SMA,1,$11.35,https://www.thorlabs.com/thorproduct.cfm?partnumber=10125A,5,Optics
SMA-905 (245 Micron),Interconnects for Main System ,Thor Labs,2,SMA905,1,$11.35,https://www.thorlabs.com/thorproduct.cfm?partnumber=10245A,5,Optics
