Wavelength (nm),Reference 1,Scan_ID 1,Reference 2,Scan_ID 2
561.2688459369306,9451.0,9292.0,9207.0,9207.0
563.5512217932556,9472.0,9282.0,9305.0,9305.0
565.8279477546843,9479.0,9363.0,9438.0,9438.0
568.0990028503542,9428.0,9247.0,9425.0,9425.0
570.3643663487518,9872.0,9658.0,9714.0,9714.0
572.6240177596313,9491.0,9273.0,9320.0,9320.0
574.8779368359349,9324.0,9192.0,9189.0,9189.0
577.1261035757126,9432.0,9032.0,9149.0,9149.0
579.3684982240416,8775.0,8475.0,8496.0,8496.0
581.6051012749463,8547.0,8367.0,8406.0,8406.0
583.8358934733184,8584.0,8373.0,8505.0,8505.0
586.0608558168364,8025.0,7943.0,7877.0,7877.0
588.2799695578843,8287.0,8176.0,8203.0,8203.0
590.4932162054737,8407.0,8331.0,8175.0,8175.0
592.7005775271614,8524.0,8320.0,8330.0,8330.0
594.9020355509703,8831.0,8740.0,8569.0,8569.0
597.0975725673088,8704.0,8589.0,8445.0,8445.0
599.2871711308907,8387.0,8428.0,8515.0,8515.0
601.470814062655,8806.0,8669.0,8802.0,8802.0
603.648484451685,8929.0,8684.0,8649.0,8649.0
605.8201656571298,8876.0,8641.0,8866.0,8866.0
607.9858413101218,8688.0,8605.0,8671.0,8671.0
610.1454953156981,8424.0,8394.0,8317.0,8317.0
612.2991118547196,8363.0,8359.0,8260.0,8260.0
614.446675385791,7806.0,7768.0,7694.0,7694.0
616.5881706471805,7586.0,7377.0,7360.0,7360.0
618.7235826587395,7475.0,7326.0,7333.0,7333.0
620.8528967238225,7102.0,6997.0,6912.0,6912.0
622.9760984312065,7386.0,7136.0,7250.0,7250.0
625.0931736570116,7298.0,7285.0,7101.0,7101.0
627.2041085666199,7136.0,6991.0,6951.0,6951.0
629.3088896165951,7425.0,7331.0,7342.0,7342.0
631.4075035566036,7071.0,6854.0,6938.0,6938.0
633.4999374313334,6750.0,6660.0,6623.0,6623.0
635.5861785824133,6938.0,6728.0,6874.0,6874.0
637.6662146503332,6240.0,6177.0,6222.0,6222.0
639.7400335763648,6231.0,6363.0,6268.0,6268.0
641.8076236044799,5974.0,5995.0,5951.0,5951.0
643.8689732832705,5701.0,5604.0,5547.0,5547.0
645.9240714678695,5742.0,5833.0,5654.0,5654.0
647.9729073218692,5394.0,5426.0,5405.0,5405.0
650.0154703192424,5403.0,5299.0,5236.0,5236.0
652.0517502462606,5532.0,5495.0,5483.0,5483.0
654.0817372034151,5223.0,5123.0,5149.0,5149.0
656.1054216073361,5544.0,5321.0,5479.0,5479.0
658.1227941927128,5245.0,5196.0,5250.0,5250.0
660.1338460142128,5047.0,5034.0,4980.0,4980.0
662.1385684484026,5122.0,5042.0,5084.0,5084.0
664.1369531956658,4818.0,4820.0,4649.0,4649.0
666.128992282125,4627.0,4728.0,4635.0,4635.0
668.11467806156,4749.0,4682.0,4582.0,4582.0
670.0940032173277,4408.0,4465.0,4264.0,4264.0
672.0669607642828,4482.0,4509.0,4381.0,4381.0
674.0335440506971,4261.0,4259.0,4116.0,4116.0
675.9937467601784,4031.0,4096.0,4114.0,4114.0
677.9475629135915,4271.0,4211.0,4315.0,4315.0
679.8949868709778,4084.0,4125.0,4245.0,4245.0
681.8360133334739,3900.0,3988.0,3959.0,3959.0
683.7706373452328,3984.0,4077.0,3940.0,3940.0
685.6988542953435,3728.0,3664.0,3819.0,3819.0
687.620659919749,3736.0,3689.0,3707.0,3707.0
689.5360503031688,3539.0,3577.0,3469.0,3469.0
691.4450218810166,3307.0,3262.0,3357.0,3357.0
693.3475714413213,3497.0,3520.0,3596.0,3596.0
695.2436961266453,3241.0,3341.0,3312.0,3312.0
697.1333934360059,3337.0,3366.0,3306.0,3306.0
699.0166612267947,3469.0,3429.0,3526.0,3526.0
700.893497716696,2971.0,2999.0,3092.0,3092.0
702.7639014856082,3243.0,3186.0,3250.0,3250.0
704.6278714775632,3099.0,3221.0,3274.0,3274.0
706.4854070026453,2815.0,2777.0,2874.0,2874.0
708.3365077389121,2767.0,2786.0,2791.0,2791.0
710.1811737343137,2684.0,2506.0,2574.0,2574.0
712.0194054086124,2622.0,2454.0,2625.0,2625.0
713.8512035553027,2616.0,2679.0,2615.0,2615.0
715.6765693435308,2330.0,2299.0,2360.0,2360.0
717.4955043200149,2600.0,2638.0,2714.0,2714.0
719.3080104109642,2377.0,2368.0,2350.0,2350.0
721.1140899239992,2278.0,2277.0,2146.0,2146.0
722.9137455500717,2234.0,2433.0,2346.0,2346.0
724.7069803653836,2126.0,2125.0,2160.0,2160.0
726.4937978333078,2103.0,2031.0,2153.0,2153.0
728.2742018063071,2245.0,2203.0,2255.0,2255.0
730.0481965278548,1979.0,1864.0,1913.0,1913.0
731.8157866343531,2244.0,2167.0,2115.0,2115.0
733.5769771570547,2069.0,2035.0,1991.0,1991.0
735.3317735239812,1728.0,1922.0,1906.0,1906.0
737.0801815618431,2017.0,1996.0,2140.0,2140.0
738.8222074979602,1894.0,1875.0,1852.0,1852.0
740.5578579621804,1726.0,1654.0,1793.0,1793.0
742.2871399888004,1943.0,1801.0,1963.0,1963.0
744.0100610184851,1598.0,1632.0,1599.0,1599.0
745.7266289001868,1761.0,1596.0,1787.0,1787.0
747.4368518930661,1651.0,1627.0,1693.0,1693.0
749.1407386684108,1500.0,1389.0,1374.0,1374.0
750.8382983115558,1695.0,1620.0,1691.0,1691.0
752.5295403238031,1609.0,1481.0,1453.0,1453.0
754.2144746243417,1402.0,1531.0,1415.0,1415.0
755.8931115521667,1577.0,1556.0,1648.0,1648.0
757.565461868,1471.0,1457.0,1495.0,1495.0
759.231536756209,1627.0,1633.0,1568.0,1568.0
760.8913478267274,1343.0,1378.0,1366.0,1366.0
762.5449071169743,1317.0,1290.0,1340.0,1340.0
764.1922270937741,1489.0,1489.0,1496.0,1496.0
765.8333206552765,1214.0,1189.0,1198.0,1198.0
767.4682011328761,1239.0,1238.0,1293.0,1293.0
769.0968822931318,1464.0,1581.0,1518.0,1518.0
770.7193783396879,1064.0,1008.0,1047.0,1047.0
772.3357039151919,1266.0,1345.0,1369.0,1369.0
773.9458741032153,1083.0,1039.0,1078.0,1078.0
775.5499044301743,849.0,921.0,928.0,928.0
777.1478108672476,1147.0,1186.0,1210.0,1210.0
778.7396098322978,1010.0,1007.0,1055.0,1055.0
780.3253181917901,890.0,897.0,870.0,870.0
781.904953262713,966.0,1043.0,1129.0,1129.0
783.4785328144973,852.0,867.0,859.0,859.0
785.0460750709358,1073.0,982.0,1058.0,1058.0
786.6075987121044,759.0,763.0,844.0,844.0
788.1631228762799,867.0,955.0,817.0,817.0
789.7126671618611,835.0,923.0,872.0,872.0
791.2562516292885,718.0,842.0,749.0,749.0
792.7938968029632,827.0,819.0,797.0,797.0
794.3256236731683,881.0,888.0,867.0,867.0
795.851453697986,653.0,643.0,654.0,654.0
797.3714088052207,820.0,1008.0,843.0,843.0
798.8855113943159,692.0,773.0,750.0,750.0
800.3937843382756,638.0,722.0,778.0,778.0
801.8962509855836,851.0,898.0,1096.0,1096.0
803.3929351621232,433.0,617.0,720.0,720.0
804.8838611730966,660.0,602.0,797.0,797.0
806.3690538049461,717.0,796.0,859.0,859.0
807.848538327272,554.0,613.0,602.0,602.0
809.3223404947536,804.0,921.0,950.0,950.0
810.7904865490682,614.0,714.0,691.0,691.0
812.2530032208118,595.0,712.0,786.0,786.0
813.7099177314184,751.0,828.0,861.0,861.0
815.1612577950791,553.0,760.0,692.0,692.0
816.6070516206629,835.0,1037.0,1052.0,1052.0
818.047327913636,1121.0,1181.0,1218.0,1218.0
819.4821158779814,989.0,872.0,926.0,926.0
820.9114452181192,1219.0,1217.0,1175.0,1175.0
822.3353461408259,1061.0,1072.0,1042.0,1042.0
823.7538493571541,1147.0,1273.0,1120.0,1120.0
825.1669860843529,1233.0,1324.0,1355.0,1355.0
826.5747880477867,1169.0,1111.0,1100.0,1100.0
827.9772874828562,1176.0,1070.0,1078.0,1078.0
829.3745171369171,1269.0,1267.0,1264.0,1264.0
830.7665102711999,1009.0,918.0,1078.0,1078.0
832.1533006627307,1068.0,1051.0,1197.0,1197.0
833.5349226062499,770.0,691.0,906.0,906.0
834.9114109161326,555.0,489.0,669.0,669.0
836.2828009283078,908.0,863.0,1018.0,1018.0
837.6491285021784,642.0,582.0,661.0,661.0
839.0104300225419,558.0,569.0,734.0,734.0
840.366742401508,648.0,549.0,673.0,673.0
841.7181030804212,294.0,348.0,467.0,467.0
843.0645500317778,656.0,597.0,605.0,605.0
844.4061217611475,422.0,437.0,416.0,416.0
845.7428573090924,297.0,336.0,384.0,384.0
847.0747962530872,461.0,536.0,633.0,633.0
848.4019787094388,206.0,258.0,317.0,317.0
849.7244453352057,287.0,372.0,445.0,445.0
851.0422373301179,546.0,620.0,629.0,629.0
852.3553964384973,63.0,88.0,136.0,136.0
853.663964951177,306.0,366.0,390.0,390.0
854.9679857074207,227.0,204.0,272.0,272.0
856.2675020968429,282.0,283.0,273.0,273.0
857.5625580613289,415.0,387.0,485.0,485.0
858.8531980969543,164.0,281.0,226.0,226.0
860.1394672559039,162.0,231.0,236.0,236.0
861.4214111483939,252.0,337.0,312.0,312.0
862.6990759445885,64.0,197.0,187.0,187.0
863.9725083765215,375.0,510.0,462.0,462.0
865.2417557400174,156.0,380.0,372.0,372.0
866.5068658966076,136.0,136.0,126.0,126.0
867.7678872754525,344.0,462.0,370.0,370.0
869.0248688752623,67.0,173.0,107.0,107.0
870.2778602662137,139.0,231.0,206.0,206.0
871.5269115918724,288.0,297.0,326.0,326.0
872.7720735711117,179.0,179.0,231.0,231.0
874.0133975000316,430.0,499.0,416.0,416.0
875.2509352538805,284.0,360.0,359.0,359.0
876.4847392889731,248.0,259.0,211.0,211.0
877.7148626446107,443.0,578.0,493.0,493.0
878.9413589450018,326.0,325.0,322.0,322.0
880.1642824011811,382.0,508.0,385.0,385.0
881.3836878129291,472.0,428.0,679.0,679.0
882.599630570692,362.0,482.0,481.0,481.0
