Wavelength (nm),X: 0 Y: 0,X: 0 Y: 1,X: 0 Y: 2,X: 0 Y: 3,X: 0 Y: 4,X: 0 Y: 5,X: 0 Y: 6,X: 0 Y: 7,X: 0 Y: 8,X: 1 Y: 9,X: 1 Y: 8,X: 1 Y: 7,X: 1 Y: 6,X: 1 Y: 5,X: 1 Y: 4,X: 1 Y: 3,X: 1 Y: 2,X: 1 Y: 1,X: 2 Y: 0,X: 2 Y: 1,X: 2 Y: 2,X: 2 Y: 3,X: 2 Y: 4,X: 2 Y: 5,X: 2 Y: 6,X: 2 Y: 7,X: 2 Y: 8,X: 3 Y: 9,X: 3 Y: 8,X: 3 Y: 7,X: 3 Y: 6,X: 3 Y: 5,X: 3 Y: 4,X: 3 Y: 3,X: 3 Y: 2,X: 3 Y: 1,X: 4 Y: 0,X: 4 Y: 1,X: 4 Y: 2,X: 4 Y: 3,X: 4 Y: 4,X: 4 Y: 5,X: 4 Y: 6,X: 4 Y: 7,X: 4 Y: 8,X: 5 Y: 9,X: 5 Y: 8,X: 5 Y: 7,X: 5 Y: 6,X: 5 Y: 5,X: 5 Y: 4,X: 5 Y: 3,X: 5 Y: 2,X: 5 Y: 1,X: 6 Y: 0,X: 6 Y: 1,X: 6 Y: 2,X: 6 Y: 3,X: 6 Y: 4,X: 6 Y: 5,X: 6 Y: 6,X: 6 Y: 7,X: 6 Y: 8,X: 7 Y: 9,X: 7 Y: 8,X: 7 Y: 7,X: 7 Y: 6,X: 7 Y: 5,X: 7 Y: 4,X: 7 Y: 3,X: 7 Y: 2,X: 7 Y: 1,X: 8 Y: 0,X: 8 Y: 1,X: 8 Y: 2,X: 8 Y: 3,X: 8 Y: 4,X: 8 Y: 5,X: 8 Y: 6,X: 8 Y: 7,X: 8 Y: 8,X: 9 Y: 9,X: 9 Y: 8,X: 9 Y: 7,X: 9 Y: 6,X: 9 Y: 5,X: 9 Y: 4,X: 9 Y: 3,X: 9 Y: 2,X: 9 Y: 1
311.3714083160349,48860.333333333336,50773.0,41874.666666666664,38727.666666666664,40178.666666666664,40170.666666666664,37259.0,29219.333333333332,32023.0,13971.333333333334,13495.666666666666,13378.333333333334,13711.0,13827.333333333334,12804.0,12447.666666666666,13138.666666666666,12300.333333333334,7928.333333333333,8139.333333333333,7798.0,7798.0,8260.0,8541.666666666666,8756.333333333334,9082.333333333334,9381.666666666666,41448.0,39232.0,46826.666666666664,38266.666666666664,42154.666666666664,47309.0,56444.333333333336,44944.0,51530.666666666664,8366.666666666666,8864.0,8194.333333333334,8399.666666666666,8142.0,8415.666666666666,8382.0,8044.0,8257.333333333334,11451.0,11710.666666666666,11486.0,11447.666666666666,11802.333333333334,11869.0,12947.333333333334,12703.0,13576.666666666666,46710.0,43050.666666666664,39751.0,45282.666666666664,44330.666666666664,47738.666666666664,45472.0,50065.666666666664,50038.0,15355.333333333334,14559.666666666666,16711.333333333332,15580.333333333334,15746.333333333334,15433.666666666666,16483.333333333332,17488.0,17328.0,17378.666666666668,19610.666666666668,18908.0,17619.333333333332,16531.0,16661.0,15999.0,16461.0,14486.0,36257.666666666664,34901.333333333336,40554.666666666664,35242.666666666664,36985.333333333336,34317.0,34396.333333333336,33394.333333333336,30760.666666666668
314.0817583865714,48069.333333333336,50094.666666666664,41586.333333333336,38248.666666666664,39410.666666666664,39653.333333333336,37013.666666666664,28885.333333333332,31729.666666666668,13934.0,13633.666666666666,13430.0,13712.0,13848.0,12781.0,12575.666666666666,13138.666666666666,12326.0,7913.333333333333,8184.333333333333,7783.0,7870.0,8246.0,8513.333333333334,8756.333333333334,8981.0,9372.0,40925.333333333336,38586.666666666664,45984.0,37600.0,41472.0,46536.0,55482.666666666664,44192.0,50730.666666666664,8325.666666666666,8859.0,8254.666666666666,8255.0,8087.0,8377.333333333334,8350.0,8013.0,8248.666666666666,11977.333333333334,12144.666666666666,12038.0,12030.666666666666,12420.333333333334,12432.666666666666,13549.333333333334,13384.0,14251.333333333334,47702.0,43861.333333333336,40672.0,45994.666666666664,45317.333333333336,48261.333333333336,46325.333333333336,50501.333333333336,50475.333333333336,16016.0,15278.0,17439.666666666668,16311.0,16300.333333333334,16146.666666666666,17239.0,18184.0,18080.0,18058.666666666668,20224.0,19493.0,18304.0,17126.666666666668,17199.0,16481.666666666668,17001.666666666668,14986.666666666666,36508.333333333336,35413.333333333336,40917.333333333336,35637.333333333336,37299.333333333336,34754.333333333336,34865.666666666664,33901.0,31173.333333333332
316.78890091172656,45888.0,47694.666666666664,39858.333333333336,36656.0,37792.0,37744.0,35466.333333333336,27685.333333333332,30391.0,13600.0,13151.0,12983.0,13205.333333333334,13362.666666666666,12389.0,12252.333333333334,12760.0,12003.333333333334,7690.333333333333,7957.0,7501.0,7578.666666666667,7946.666666666667,8166.0,8482.666666666666,8687.0,9038.666666666666,38957.333333333336,36688.0,43616.0,35946.666666666664,39466.666666666664,44082.666666666664,52533.333333333336,41856.0,48192.0,8081.333333333333,8546.333333333334,7953.333333333333,8029.333333333333,7825.666666666667,8073.333333333333,8096.0,7737.666666666667,8013.333333333333,12046.0,12088.0,11959.0,12095.0,12428.333333333334,12512.0,13506.666666666666,13384.0,14304.0,46474.666666666664,42688.0,39605.333333333336,44800.0,44224.0,46816.0,45184.0,49045.333333333336,49044.333333333336,15909.333333333334,15192.666666666666,17296.0,16167.0,16193.666666666666,16096.0,17112.0,18024.0,17941.333333333332,17904.0,20000.0,19248.0,18090.666666666668,16911.666666666668,16943.0,16256.0,16922.666666666668,14890.666666666666,35221.333333333336,34498.666666666664,39584.0,34506.666666666664,35957.333333333336,33685.333333333336,33937.666666666664,32863.666666666664,30341.333333333332
319.4928136428748,43605.333333333336,45193.666666666664,38050.333333333336,34858.666666666664,35936.0,35845.333333333336,33792.0,26282.666666666668,28997.333333333332,13077.333333333334,12781.333333333334,12481.666666666666,12693.333333333334,12914.666666666666,11943.0,11786.666666666666,12405.333333333334,11608.666666666666,7442.666666666667,7695.666666666667,7197.0,7408.666666666667,7770.666666666667,7898.666666666667,8205.333333333334,8330.666666666666,8711.0,36778.666666666664,34597.333333333336,41397.333333333336,34042.666666666664,37386.666666666664,41760.0,49621.333333333336,39381.333333333336,45461.333333333336,7855.666666666667,8261.333333333334,7742.0,7749.333333333333,7637.333333333333,7828.333333333333,7800.0,7485.333333333333,7741.333333333333,11925.333333333334,11973.333333333334,11933.333333333334,11908.333333333334,12282.666666666666,12442.666666666666,13384.0,13270.0,14085.333333333334,44832.0,41024.0,38464.0,43456.0,42826.666666666664,44917.333333333336,43264.0,47168.0,47029.333333333336,15690.666666666666,14935.0,16951.0,15968.0,15872.0,15840.0,16816.0,17554.666666666668,17536.0,17600.0,19589.333333333332,18789.333333333332,17869.333333333332,16704.0,16698.666666666668,15872.0,16650.666666666668,14574.0,33669.333333333336,33173.333333333336,37824.0,32938.666666666664,34469.333333333336,32512.0,32821.333333333336,31584.0,29130.666666666668
322.1934741859375,42069.333333333336,43585.666666666664,36661.333333333336,33600.0,34752.0,34507.333333333336,32448.0,25344.0,27936.0,12661.333333333334,12338.666666666666,12020.333333333334,12346.666666666666,12506.666666666666,11489.666666666666,11362.666666666666,11976.666666666666,11253.333333333334,7054.0,7376.0,6864.666666666667,7067.333333333333,7466.666666666667,7573.333333333333,7866.666666666667,8043.333333333333,8325.333333333334,35157.333333333336,32960.0,39562.666666666664,32554.666666666668,35765.333333333336,39840.0,47445.333333333336,37749.333333333336,43306.666666666664,7642.666666666667,7981.333333333333,7440.0,7497.666666666667,7312.0,7535.0,7570.666666666667,7205.333333333333,7437.333333333333,11658.666666666666,11753.666666666666,11800.0,11659.333333333334,12117.333333333334,12230.0,13245.333333333334,13078.0,13909.333333333334,43605.333333333336,40064.0,37621.333333333336,42538.666666666664,41546.666666666664,43765.333333333336,41984.0,45664.0,45877.333333333336,15434.666666666666,14668.333333333334,16521.666666666668,15610.666666666666,15658.666666666666,15648.0,16496.0,17146.666666666668,17077.333333333332,17418.666666666668,19328.0,18416.0,17613.333333333332,16493.333333333332,16448.0,15701.333333333334,16474.666666666668,14424.666666666666,32805.333333333336,32288.0,36720.0,32016.0,33728.0,31629.333333333332,31914.666666666668,30570.666666666668,28352.0
324.89086000467205,41450.666666666664,42737.666666666664,36234.666666666664,33088.0,34048.0,34126.0,31957.333333333332,25013.333333333332,27637.333333333332,12416.0,12189.333333333334,11888.0,12309.333333333334,12301.333333333334,11377.666666666666,11154.666666666666,11811.333333333334,11136.0,6942.666666666667,7178.333333333333,6656.0,6903.666666666667,7322.666666666667,7418.666666666667,7666.333333333333,7907.333333333333,8194.666666666666,34229.333333333336,32069.333333333332,38645.333333333336,31834.666666666668,34852.333333333336,38901.333333333336,46506.666666666664,37064.666666666664,42261.333333333336,7488.0,7864.0,7312.0,7399.0,7136.0,7392.666666666667,7436.333333333333,7013.333333333333,7298.666666666667,11621.333333333334,11807.0,11896.0,11646.666666666666,12117.333333333334,12195.0,13320.0,13134.0,13962.666666666666,43184.0,39808.0,37578.666666666664,42221.333333333336,41376.0,43456.0,41429.333333333336,45349.333333333336,45408.0,15434.666666666666,14657.666666666666,16524.333333333332,15530.666666666666,15682.666666666666,15629.333333333334,16538.666666666668,17157.0,17058.666666666668,17690.666666666668,19456.0,18677.333333333332,17901.333333333332,16717.333333333332,16461.333333333332,15872.0,16536.0,14494.0,32592.0,32074.666666666668,36720.0,32085.333333333332,33600.0,31661.333333333332,31840.0,30368.0,28309.333333333332
327.58494842396163,41706.666666666664,43057.666666666664,36440.0,33344.0,34234.666666666664,34360.666666666664,32256.0,25408.0,27909.333333333332,12480.0,12274.333333333334,12013.333333333334,12522.666666666666,12434.666666666666,11418.666666666666,11384.0,11910.0,11325.0,6902.666666666667,7141.0,6675.333333333333,6823.0,7229.0,7384.0,7693.0,7955.333333333333,8208.0,34265.666666666664,32080.0,38664.0,31872.0,34745.666666666664,38784.0,46549.333333333336,37182.0,42304.0,7434.666666666667,7829.333333333333,7296.0,7335.0,7115.333333333333,7337.333333333333,7455.0,6964.333333333333,7341.333333333333,11873.666666666666,11983.0,12021.333333333334,11883.0,12287.0,12403.666666666666,13624.0,13416.0,14298.666666666666,43706.666666666664,40495.666666666664,38016.0,42549.333333333336,41759.0,43997.333333333336,41962.666666666664,45776.0,46005.333333333336,15754.666666666666,14976.0,16906.666666666668,15722.666666666666,16077.333333333334,15949.333333333334,16874.666666666668,17530.333333333332,17400.0,18346.666666666668,20042.666666666668,19456.0,18443.333333333332,17208.0,17026.666666666668,16458.666666666668,17144.0,14992.0,33301.333333333336,32746.666666666668,37402.666666666664,32962.666666666664,34432.0,32328.0,32432.0,30880.0,29013.333333333332
330.2757166331037,42629.333333333336,44037.333333333336,37336.0,34400.0,35071.666666666664,35448.0,33280.0,26034.666666666668,28794.666666666668,12721.666666666666,12472.333333333334,12261.333333333334,12717.0,12655.666666666666,11706.666666666666,11597.333333333334,12173.333333333334,11596.0,6835.333333333333,7029.0,6676.0,6727.0,7184.333333333333,7400.0,7594.333333333333,7922.666666666667,8218.666666666666,34825.666666666664,32624.0,39181.333333333336,32298.666666666668,35151.0,39584.0,47189.333333333336,37650.333333333336,42912.0,7258.666666666667,7768.0,7236.333333333333,7320.666666666667,7090.333333333333,7288.333333333333,7339.333333333333,6882.333333333333,7328.0,12204.333333333334,12208.0,12271.666666666666,12271.666666666666,12537.666666666666,12749.666666666666,13958.0,13757.333333333334,14629.333333333334,44837.333333333336,41487.666666666664,39002.666666666664,43504.0,42953.666666666664,45005.333333333336,43024.0,46917.333333333336,47168.0,16098.333333333334,15320.0,17486.0,16224.0,16530.333333333332,16297.666666666666,17290.666666666668,18138.333333333332,17981.333333333332,19317.333333333332,21034.666666666668,20416.0,19254.0,18016.0,17848.0,17295.0,17896.0,15592.666666666666,34447.0,33957.333333333336,38810.333333333336,34058.333333333336,35659.333333333336,33541.333333333336,33712.0,32144.0,30133.333333333332
332.9631416891006,44720.0,46341.333333333336,39064.0,36210.666666666664,36906.333333333336,37424.0,35061.333333333336,27469.333333333332,30373.333333333332,13457.666666666666,13212.666666666666,12963.333333333334,13346.333333333334,13357.0,12331.333333333334,12150.0,12765.333333333334,12196.666666666666,6938.666666666667,7083.333333333333,6907.0,6957.333333333333,7286.333333333333,7576.0,7787.333333333333,8146.666666666667,8418.333333333334,36265.666666666664,33934.0,40813.333333333336,33493.333333333336,36709.333333333336,41317.0,48882.666666666664,38849.666666666664,44566.0,7304.666666666667,7941.0,7281.666666666667,7334.0,7290.333333333333,7378.0,7437.0,7066.0,7450.333333333333,12740.333333333334,12823.666666666666,12769.333333333334,12910.0,13132.0,13379.333333333334,14555.333333333334,14430.0,15238.0,47194.333333333336,43701.0,41026.666666666664,45378.666666666664,44873.666666666664,47309.333333333336,45157.333333333336,49136.0,49461.333333333336,16959.666666666668,16137.666666666666,18416.333333333332,17120.0,17402.333333333332,17073.666666666668,18164.333333333332,19120.0,18807.0,20669.333333333332,22464.0,21741.0,20471.666666666668,19125.333333333332,19257.666666666668,18548.333333333332,19181.0,16640.333333333332,36604.333333333336,36058.333333333336,40922.333333333336,35898.333333333336,37835.333333333336,35537.666666666664,35760.0,34245.333333333336,32010.666666666668
335.647200519948,48122.666666666664,49530.666666666664,41921.666666666664,39132.333333333336,39493.0,40177.666666666664,37530.333333333336,29496.0,32772.333333333336,14525.0,14202.333333333334,13923.0,14309.0,14465.333333333334,13286.0,12992.666666666666,13647.666666666666,13087.666666666666,7165.0,7288.333333333333,7138.333333333333,7177.666666666667,7536.333333333333,7820.333333333333,8057.333333333333,8405.0,8642.333333333334,38610.666666666664,35951.666666666664,43098.666666666664,35365.333333333336,38930.333333333336,43738.333333333336,51368.0,40983.0,46981.666666666664,7519.666666666667,8171.0,7523.333333333333,7635.333333333333,7492.333333333333,7548.0,7590.666666666667,7303.333333333333,7634.0,13421.333333333334,13623.666666666666,13521.333333333334,13706.333333333334,13983.666666666666,14218.333333333334,15342.0,15363.333333333334,16235.333333333334,50469.0,46586.666666666664,43746.666666666664,48474.666666666664,47894.0,50438.0,48093.333333333336,52162.666666666664,52704.0,18074.333333333332,17164.333333333332,19560.333333333332,18192.0,18530.333333333332,18111.666666666668,19188.333333333332,20483.333333333332,20078.0,22378.666666666668,24453.333333333332,23487.666666666668,22199.0,20752.0,20851.333333333332,20095.0,20708.0,18000.333333333332,39399.0,38853.0,44191.666666666664,38690.333333333336,40632.666666666664,38375.0,38816.0,37029.333333333336,34533.333333333336
