Wavelength (nm),Scan_ID 1
308.9816663664639,23384.0
311.69052056568233,24256.0
314.39670104133216,23862.0
317.10017258254203,22312.0
319.80090002581204,20789.0
322.498848256934,20144.0
325.19398221291056,20102.0
327.8862668838754,19835.0
330.5756673150127,20678.0
333.2621486084774,21253.0
335.9456759253141,22118.0
338.62621448737787,23553.0
341.30372957925334,24742.0
343.9781865501744,26833.0
346.6495508159446,28070.0
349.31778786085636,28160.0
351.9828632396108,28896.0
354.6447425792376,29928.0
357.3033915810149,31803.0
359.9587760223891,32825.0
362.61086175889403,31464.0
365.2596147260716,28712.0
367.90500094139077,25827.0
370.54698650616797,23947.0
373.1855376074863,24918.0
375.82062052011594,27070.0
378.452201608433,29070.0
381.0802473283404,31078.0
383.7047242291868,33662.0
386.32559895568664,35893.0
388.94283824984,39744.0
391.55640895285205,42642.0
394.1662780070534,44024.0
396.77241245781926,44871.0
399.3747794554895,44110.0
401.9733462572885,44521.0
404.5680802292445,45154.0
407.15894884811013,45306.0
409.7459197032812,45440.0
412.3289604987174,44798.0
414.90803905486143,45141.0
417.483123310559,47818.0
420.0541813249786,51770.0
422.6211812795313,54371.0
425.18409147979037,56478.0
427.7428803574113,55459.0
430.29751647205114,51960.0
432.84796851328895,50842.0
435.3942053025449,50568.0
437.93619579499995,51809.0
440.47390908151687,54704.0
443.0073143905581,56557.0
445.53638109010745,59536.0
448.0610786895881,60824.0
450.5813768417837,61694.0
453.0972453447577,61464.0
455.6086541437726,62010.0
458.11557333321065,63504.0
460.61797315849293,63001.0
463.11582401799933,62336.0
465.60909646498845,60691.0
468.097761209517,57429.0
470.58178912036,54435.0
473.0611512269304,52515.0
475.5358187211986,51510.0
478.0057629596127,52965.0
480.47095546501765,57189.0
482.93136792857547,62270.0
485.3869722116853,63973.0
487.8377403479021,63837.0
490.2836445448576,61059.0
492.7246571861793,53485.0
495.16075083341053,46991.0
497.59189822793036,41752.0
500.01807229287306,36326.0
502.4392461350479,33704.0
504.8553930468589,32493.0
507.26648650822557,30785.0
509.67250018850063,30762.0
512.0734079483916,31499.0
514.4691838418801,32584.0
516.8598021181409,32913.0
519.2452372234626,34160.0
521.6254638031673,35896.0
524.0004567035296,38810.0
526.3701909736968,41970.0
528.7346418676095,44096.0
531.0937848459198,44613.0
533.4475955779122,43800.0
535.7960499434234,40845.0
538.139124034761,37973.0
540.4767941586247,36533.0
542.8090368380244,35392.0
545.1358288142023,33139.0
547.4571470485503,30381.0
549.7729687245302,27641.0
552.0832712495957,25407.0
554.3880322571092,24302.0
556.6872296082634,23089.0
558.980841394,22248.0
561.2688459369306,22251.0
563.5512217932556,22317.0
565.8279477546843,22587.0
568.0990028503542,22304.0
570.3643663487518,22698.0
572.6240177596313,22835.0
574.8779368359349,22486.0
577.1261035757126,21979.0
579.3684982240416,21008.0
581.6051012749463,20229.0
583.8358934733184,19331.0
586.0608558168364,19598.0
588.2799695578843,19302.0
590.4932162054737,19629.0
592.7005775271614,19925.0
594.9020355509703,19816.0
597.0975725673088,20120.0
599.2871711308907,20414.0
601.470814062655,20256.0
603.648484451685,20683.0
605.8201656571298,20678.0
607.9858413101218,20214.0
610.1454953156981,20030.0
612.2991118547196,18866.0
614.446675385791,18216.0
616.5881706471805,17194.0
618.7235826587395,17062.0
620.8528967238225,16920.0
622.9760984312065,16704.0
625.0931736570116,16736.0
627.2041085666199,16825.0
629.3088896165951,16656.0
631.4075035566036,16144.0
633.4999374313334,15798.0
635.5861785824133,15624.0
637.6662146503332,14704.0
639.7400335763648,14688.0
641.8076236044799,14093.0
643.8689732832705,13357.0
645.9240714678695,13366.0
647.9729073218692,12811.0
650.0154703192424,12795.0
652.0517502462606,12407.0
654.0817372034151,12574.0
656.1054216073361,12464.0
658.1227941927128,12619.0
660.1338460142128,12610.0
662.1385684484026,12136.0
664.1369531956658,12003.0
666.128992282125,11752.0
668.11467806156,11120.0
670.0940032173277,11024.0
672.0669607642828,10749.0
674.0335440506971,10472.0
675.9937467601784,10411.0
677.9475629135915,10090.0
679.8949868709778,9990.0
681.8360133334739,10271.0
683.7706373452328,9833.0
685.6988542953435,9455.0
687.620659919749,9424.0
689.5360503031688,9135.0
691.4450218810166,9022.0
693.3475714413213,8521.0
695.2436961266453,8793.0
697.1333934360059,8507.0
699.0166612267947,8459.0
700.893497716696,8696.0
702.7639014856082,8464.0
704.6278714775632,8264.0
706.4854070026453,8128.0
708.3365077389121,7681.0
710.1811737343137,7478.0
712.0194054086124,7368.0
713.8512035553027,6971.0
715.6765693435308,7075.0
717.4955043200149,6921.0
719.3080104109642,6577.0
721.1140899239992,6243.0
722.9137455500717,6059.0
724.7069803653836,5752.0
726.4937978333078,5973.0
728.2742018063071,5946.0
730.0481965278548,5998.0
731.8157866343531,5675.0
733.5769771570547,5520.0
735.3317735239812,5648.0
737.0801815618431,5560.0
738.8222074979602,5339.0
740.5578579621804,5391.0
742.2871399888004,5173.0
744.0100610184851,4880.0
745.7266289001868,4742.0
747.4368518930661,5000.0
749.1407386684108,4728.0
750.8382983115558,4649.0
752.5295403238031,4392.0
754.2144746243417,4598.0
755.8931115521667,4544.0
757.565461868,4416.0
759.231536756209,4502.0
760.8913478267274,4512.0
762.5449071169743,4408.0
764.1922270937741,4288.0
765.8333206552765,4299.0
767.4682011328761,4296.0
769.0968822931318,4104.0
770.7193783396879,3751.0
772.3357039151919,3679.0
773.9458741032153,3456.0
775.5499044301743,3608.0
777.1478108672476,3280.0
778.7396098322978,3320.0
780.3253181917901,3069.0
781.904953262713,3040.0
783.4785328144973,2870.0
785.0460750709358,2745.0
786.6075987121044,3016.0
788.1631228762799,2763.0
789.7126671618611,2605.0
791.2562516292885,3014.0
792.7938968029632,2766.0
794.3256236731683,2658.0
795.851453697986,2866.0
797.3714088052207,2530.0
798.8855113943159,2437.0
800.3937843382756,2362.0
801.8962509855836,2584.0
803.3929351621232,2637.0
804.8838611730966,2536.0
806.3690538049461,2389.0
807.848538327272,2253.0
809.3223404947536,2352.0
810.7904865490682,2054.0
812.2530032208118,2475.0
813.7099177314184,2473.0
815.1612577950791,2613.0
816.6070516206629,3021.0
818.047327913636,3201.0
819.4821158779814,3438.0
820.9114452181192,3696.0
822.3353461408259,3920.0
823.7538493571541,3990.0
825.1669860843529,4555.0
826.5747880477867,4552.0
827.9772874828562,4482.0
829.3745171369171,4207.0
830.7665102711999,3838.0
832.1533006627307,3606.0
833.5349226062499,2961.0
834.9114109161326,2917.0
836.2828009283078,2771.0
837.6491285021784,2430.0
839.0104300225419,2048.0
840.366742401508,2024.0
841.7181030804212,1907.0
843.0645500317778,1710.0
844.4061217611475,1374.0
845.7428573090924,1446.0
847.0747962530872,1243.0
848.4019787094388,1285.0
849.7244453352057,1118.0
851.0422373301179,987.0
852.3553964384973,1211.0
853.663964951177,949.0
854.9679857074207,1234.0
856.2675020968429,1240.0
857.5625580613289,981.0
858.8531980969543,1005.0
860.1394672559039,895.0
861.4214111483939,856.0
862.6990759445885,979.0
863.9725083765215,843.0
865.2417557400174,881.0
866.5068658966076,997.0
867.7678872754525,829.0
869.0248688752623,880.0
870.2778602662137,1078.0
871.5269115918724,882.0
872.7720735711117,1163.0
874.0133975000316,1209.0
875.2509352538805,1521.0
876.4847392889731,1438.0
877.7148626446107,1745.0
878.9413589450018,1789.0
880.1642824011811,1523.0
881.3836878129291,1899.0
882.599630570692,1878.0
