Wavelength (nm),Reference 1,Scan_ID 1
308.9816663664639,658.0,543.0
311.69052056568233,408.0,388.0
314.39670104133216,639.0,609.0
317.10017258254203,1006.0,856.0
319.80090002581204,640.0,532.0
322.498848256934,1078.0,898.0
325.19398221291056,1075.0,894.0
327.8862668838754,769.0,706.0
330.5756673150127,1252.0,1273.0
333.2621486084774,982.0,919.0
335.9456759253141,972.0,948.0
338.62621448737787,1159.0,1038.0
341.30372957925334,684.0,782.0
343.9781865501744,770.0,715.0
346.6495508159446,698.0,585.0
349.31778786085636,511.0,452.0
351.9828632396108,959.0,966.0
354.6447425792376,713.0,760.0
357.3033915810149,957.0,901.0
359.9587760223891,1272.0,1209.0
362.61086175889403,1211.0,1171.0
365.2596147260716,1578.0,1473.0
367.90500094139077,1863.0,1769.0
370.54698650616797,2060.0,1949.0
373.1855376074863,2619.0,2598.0
375.82062052011594,3230.0,3255.0
378.452201608433,4413.0,4251.0
381.0802473283404,5852.0,5832.0
383.7047242291868,7346.0,7293.0
386.32559895568664,9912.0,10004.0
388.94283824984,13371.0,13182.0
391.55640895285205,16023.0,16163.0
394.1662780070534,19198.0,19187.0
396.77241245781926,21519.0,21459.0
399.3747794554895,23132.0,23181.0
401.9733462572885,25104.0,24962.0
404.5680802292445,26474.0,26562.0
407.15894884811013,26942.0,27297.0
409.7459197032812,27689.0,27579.0
412.3289604987174,27527.0,27479.0
414.90803905486143,28634.0,28433.0
417.483123310559,29770.0,30000.0
420.0541813249786,31868.0,31711.0
422.6211812795313,33873.0,33883.0
425.18409147979037,34246.0,34322.0
427.7428803574113,33279.0,33492.0
430.29751647205114,31951.0,31861.0
432.84796851328895,30731.0,30443.0
435.3942053025449,30396.0,30317.0
437.93619579499995,30822.0,30869.0
440.47390908151687,31749.0,32170.0
443.0073143905581,33334.0,33218.0
445.53638109010745,34265.0,34091.0
448.0610786895881,34741.0,34622.0
450.5813768417837,34870.0,35262.0
453.0972453447577,34632.0,34685.0
455.6086541437726,34808.0,34722.0
458.11557333321065,35029.0,35015.0
460.61797315849293,34643.0,34455.0
463.11582401799933,34126.0,34031.0
465.60909646498845,32844.0,32874.0
468.097761209517,30560.0,30817.0
470.58178912036,29128.0,29085.0
473.0611512269304,27437.0,27582.0
475.5358187211986,27009.0,27152.0
